Year,totprop_biomass_polluted,momb_score,Komnum_new,Kommune_new,momb_gapfilled,gapfilled
2018,0.375,NA,1867,Bo,0.5680690875383969,y
2005,NA,NA,1867,Bo,0.5680690875383969,y
2006,NA,NA,1867,Bo,0.5680690875383969,y
2007,NA,NA,1867,Bo,0.5680690875383969,y
2008,NA,NA,1867,Bo,0.5680690875383969,y
2009,NA,NA,1867,Bo,0.5680690875383969,y
2016,NA,NA,1867,Bo,0.5680690875383969,y
2011,0,NA,1804,Bodo,1,y
2012,0,1,1804,Bodo,1,n
2013,0,1,1804,Bodo,1,n
2014,0,1,1804,Bodo,1,n
2015,0,1,1804,Bodo,1,n
2017,0,1,1804,Bodo,1,n
2018,0,NA,1804,Bodo,1,y
2005,NA,NA,1804,Bodo,1,y
2006,NA,NA,1804,Bodo,1,y
2007,NA,NA,1804,Bodo,1,y
2008,NA,NA,1804,Bodo,1,y
2009,NA,NA,1804,Bodo,1,y
2010,NA,NA,1804,Bodo,1,y
2016,NA,NA,1804,Bodo,1,y
2010,0,NA,1813,Bronnoy,0.8639625776865084,y
2011,0,1,1813,Bronnoy,1,n
2012,0,0.8385093167701863,1813,Bronnoy,0.8385093167701863,n
2013,0.484472049689441,0.8385093167701863,1813,Bronnoy,0.8385093167701863,n
2014,0,0.7680486121631404,1813,Bronnoy,0.7680486121631404,n
2015,0.21138211382113822,0.9295392953929539,1813,Bronnoy,0.9295392953929539,n
2017,0,0.8091689250225835,1813,Bronnoy,0.8091689250225835,n
2018,0.3611111111111111,NA,1813,Bronnoy,0.8639625776865084,y
2005,NA,NA,1813,Bronnoy,0.8639625776865084,y
2006,NA,NA,1813,Bronnoy,0.8639625776865084,y
2007,NA,NA,1813,Bronnoy,0.8639625776865084,y
2008,NA,NA,1813,Bronnoy,0.8639625776865084,y
2009,NA,NA,1813,Bronnoy,0.8639625776865084,y
2016,NA,NA,1813,Bronnoy,0.8639625776865084,y
2010,0,NA,1827,Donna,1,y
2011,0,1,1827,Donna,1,n
2012,0,1,1827,Donna,1,n
2013,0,1,1827,Donna,1,n
2014,0,1,1827,Donna,1,n
2015,0,1,1827,Donna,1,n
2017,0,1,1827,Donna,1,n
2018,0,NA,1827,Donna,1,y
2005,NA,NA,1827,Donna,1,y
2006,NA,NA,1827,Donna,1,y
2007,NA,NA,1827,Donna,1,y
2008,NA,NA,1827,Donna,1,y
2009,NA,NA,1827,Donna,1,y
2016,NA,NA,1827,Donna,1,y
2010,0,NA,1926,Dyroy,0.863431064796512,y
2011,0,1,1926,Dyroy,1,n
2012,0,1,1926,Dyroy,1,n
2013,0,1,1926,Dyroy,1,n
2014,0,0.8022909507445589,1926,Dyroy,0.8022909507445589,n
2015,0.593127147766323,0.6891477190172565,1926,Dyroy,0.6891477190172565,n
2017,0.3394296951819076,0.6891477190172565,1926,Dyroy,0.6891477190172565,n
2018,0,NA,1926,Dyroy,0.863431064796512,y
2005,NA,NA,1926,Dyroy,0.863431064796512,y
2006,NA,NA,1926,Dyroy,0.863431064796512,y
2007,NA,NA,1926,Dyroy,0.863431064796512,y
2008,NA,NA,1926,Dyroy,0.863431064796512,y
2009,NA,NA,1926,Dyroy,0.863431064796512,y
2016,NA,NA,1926,Dyroy,0.863431064796512,y
2011,0,NA,1841,Fauske,1,y
