Year,totprop_biomass_polluted,momb_score,Komnum_new,Kommune_new,momb_gapfilled,gapfilled
2008,NA,NA,2019,Nordkapp,0.746855953891621,y
2009,NA,NA,2019,Nordkapp,0.746855953891621,y
2016,NA,NA,2019,Nordkapp,0.746855953891621,y
2010,0.24128686327077747,NA,1942,Nordreisa,0.5792567622790636,y
2012,0,0.7517388777442396,1942,Nordreisa,0.7517388777442396,n
2013,0.5034965034965035,0.6643356643356643,1942,Nordreisa,0.6643356643356643,n
2014,0.5034965034965035,0.4143356643356643,1942,Nordreisa,0.4143356643356643,n
2015,0.75,0.5821678321678322,1942,Nordreisa,0.5821678321678322,n
2017,0,0.48370577281191807,1942,Nordreisa,0.48370577281191807,n
2018,0.7988826815642458,NA,1942,Nordreisa,0.5792567622790636,y
2005,NA,NA,1942,Nordreisa,0.5792567622790636,y
2006,NA,NA,1942,Nordreisa,0.5792567622790636,y
2007,NA,NA,1942,Nordreisa,0.5792567622790636,y
2008,NA,NA,1942,Nordreisa,0.5792567622790636,y
2009,NA,NA,1942,Nordreisa,0.5792567622790636,y
2011,NA,NA,1942,Nordreisa,0.5792567622790636,y
2016,NA,NA,1942,Nordreisa,0.5792567622790636,y
2010,0,NA,1868,Oksnes,0.9083703312536264,y
2011,0.26666666666666666,0.8676328502415459,1868,Oksnes,0.8676328502415459,n
2012,0.13043478260869565,0.8676328502415459,1868,Oksnes,0.8676328502415459,n
2013,0,0.9565217391304347,1868,Oksnes,0.9565217391304347,n
2014,0,1,1868,Oksnes,1,n
2015,0,0.923076923076923,1868,Oksnes,0.923076923076923,n
2017,0.23076923076923078,0.835357624831309,1868,Oksnes,0.835357624831309,n
2018,0.2631578947368421,NA,1868,Oksnes,0.9083703312536264,y
2005,NA,NA,1868,Oksnes,0.9083703312536264,y
2006,NA,NA,1868,Oksnes,0.9083703312536264,y
2007,NA,NA,1868,Oksnes,0.9083703312536264,y
2008,NA,NA,1868,Oksnes,0.9083703312536264,y
2009,NA,NA,1868,Oksnes,0.9083703312536264,y
2016,NA,NA,1868,Oksnes,0.9083703312536264,y
2010,0,NA,1833,Rana,1,y
2011,0,1,1833,Rana,1,n
2012,0,1,1833,Rana,1,n
2014,0,1,1833,Rana,1,n
2017,0,NA,1833,Rana,1,y
2005,NA,NA,1833,Rana,1,y
2006,NA,NA,1833,Rana,1,y
2007,NA,NA,1833,Rana,1,y
2008,NA,NA,1833,Rana,1,y
2009,NA,NA,1833,Rana,1,y
2013,NA,NA,1833,Rana,1,y
2015,NA,NA,1833,Rana,1,y
2016,NA,NA,1833,Rana,1,y
2018,NA,NA,1833,Rana,1,y
2010,0,NA,1836,Rodoy,0.8884319641169038,y
2011,0.375,0.7632750153468386,1836,Rodoy,0.7632750153468386,n
2012,0.3351749539594844,0.7632750153468386,1836,Rodoy,0.7632750153468386,n
2013,0,0.8882750153468386,1836,Rodoy,0.8882750153468386,n
2014,0,1,1836,Rodoy,1,n
2015,0,1,1836,Rodoy,1,n
2017,0,0.9157667386609072,1836,Rodoy,0.9157667386609072,n
2018,0.2526997840172786,NA,1836,Rodoy,0.8884319641169038,y
2005,NA,NA,1836,Rodoy,0.8884319641169038,y
2006,NA,NA,1836,Rodoy,0.8884319641169038,y
2007,NA,NA,1836,Rodoy,0.8884319641169038,y
2008,NA,NA,1836,Rodoy,0.8884319641169038,y
2009,NA,NA,1836,Rodoy,0.8884319641169038,y
2016,NA,NA,1836,Rodoy,0.8884319641169038,y
2010,0,NA,1923,Salangen,1,y
2013,0,1,1923,Salangen,1,n
2015,0,1,1923,Salangen,1,n
2017,0,1,1923,Salangen,1,n
2018,0,NA,1923,Salangen,1,y
2005,NA,NA,1923,Salangen,1,y
2006,NA,NA,1923,Salangen,1,y
2007,NA,NA,1923,Salangen,1,y
2008,NA,NA,1923,Salangen,1,y
2009,NA,NA,1923,Salangen,1,y
2011,NA,NA,1923,Salangen,1,y
2012,NA,NA,1923,Salangen,1,y
2014,NA,NA,1923,Salangen,1,y
2016,NA,NA,1923,Salangen,1,y
2012,0,NA,1840,Saltdal,1,y
2013,0,1,1840,Saltdal,1,n
2014,0,1,1840,Saltdal,1,n
2015,0,1,1840,Saltdal,1,n
2017,0,NA,1840,Saltdal,1,y
2005,NA,NA,1840,Saltdal,1,y
2006,NA,NA,1840,Saltdal,1,y
2007,NA,NA,1840,Saltdal,1,y
2008,NA,NA,1840,Saltdal,1,y
2009,NA,NA,1840,Saltdal,1,y
2010,NA,NA,1840,Saltdal,1,y
2011,NA,NA,1840,Saltdal,1,y
2016,NA,NA,1840,Saltdal,1,y
2018,NA,NA,1840,Saltdal,1,y
2012,0,NA,1913,Skanland,0.8993288590604026,y
2013,0,0.8993288590604026,1913,Skanland,0.8993288590604026,n
2015,0.30201342281879195,0.8993288590604026,1913,Skanland,0.8993288590604026,n
2017,0,0.8993288590604026,1913,Skanland,0.8993288590604026,n
2018,0,NA,1913,Skanland,0.8993288590604026,y
2005,NA,NA,1913,Skanland,0.8993288590604026,y
2006,NA,NA,1913,Skanland,0.8993288590604026,y
2007,NA,NA,1913,Skanland,0.8993288590604026,y
2008,NA,NA,1913,Skanland,0.8993288590604026,y
2009,NA,NA,1913,Skanland,0.8993288590604026,y
2010,NA,NA,1913,Skanland,0.8993288590604026,y
2011,NA,NA,1913,Skanland,0.8993288590604026,y
2014,NA,NA,1913,Skanland,0.8993288590604026,y
2016,NA,NA,1913,Skanland,0.8993288590604026,y
2010,0,NA,1941,Skjervoy,0.9231833406145332,y
2011,0,1,1941,Skjervoy,1,n
2012,0,0.8939857288481141,1941,Skjervoy,0.8939857288481141,n
2013,0.3180428134556575,0.8939857288481141,1941,Skjervoy,0.8939857288481141,n
2014,0,0.8939857288481141,1941,Skjervoy,0.8939857288481141,n
2015,0,1,1941,Skjervoy,1,n
2017,0,0.8571428571428571,1941,Skjervoy,0.8571428571428571,n
2018,0.42857142857142855,NA,1941,Skjervoy,0.9231833406145332,y
2005,NA,NA,1941,Skjervoy,0.9231833406145332,y
2006,NA,NA,1941,Skjervoy,0.9231833406145332,y
2007,NA,NA,1941,Skjervoy,0.9231833406145332,y
2008,NA,NA,1941,Skjervoy,0.9231833406145332,y
2009,NA,NA,1941,Skjervoy,0.9231833406145332,y
2016,NA,NA,1941,Skjervoy,0.9231833406145332,y
2010,0,NA,1812,Somna,0.8333333333333333,y
2011,1,0.6666666666666666,1812,Somna,0.6666666666666666,n
2012,0,0.6666666666666666,1812,Somna,0.6666666666666666,n
2013,0,1,1812,Somna,1,n
2014,0,1,1812,Somna,1,n
2015,0,NA,1812,Somna,0.8333333333333333,y
2005,NA,NA,1812,Somna,0.8333333333333333,y
2006,NA,NA,1812,Somna,0.8333333333333333,y
2007,NA,NA,1812,Somna,0.8333333333333333,y
2008,NA,NA,1812,Somna,0.8333333333333333,y
2009,NA,NA,1812,Somna,0.8333333333333333,y
2016,NA,NA,1812,Somna,0.8333333333333333,y
2017,NA,NA,1812,Somna,0.8333333333333333,y
2018,NA,NA,1812,Somna,0.8333333333333333,y
2011,0,NA,2030,Sor-Varanger,0.9002849002849003,y
2012,0.24786324786324787,0.9173789173789174,2030,Sor-Varanger,0.9173789173789174,n
2013,0,0.9173789173789174,2030,Sor-Varanger,0.9173789173789174,n
2014,0,1,2030,Sor-Varanger,1,n
2015,0,1,2030,Sor-Varanger,1,n
2017,0,0.6666666666666666,2030,Sor-Varanger,0.6666666666666666,n
2018,1,NA,2030,Sor-Varanger,0.9002849002849003,y
2005,NA,NA,2030,Sor-Varanger,0.9002849002849003,y
2006,NA,NA,2030,Sor-Varanger,0.9002849002849003,y
2007,NA,NA,2030,Sor-Varanger,0.9002849002849003,y
2008,NA,NA,2030,Sor-Varanger,0.9002849002849003,y
2009,NA,NA,2030,Sor-Varanger,0.9002849002849003,y
2010,NA,NA,2030,Sor-Varanger,0.9002849002849003,y
2016,NA,NA,2030,Sor-Varanger,0.9002849002849003,y
2010,0.36619718309859156,NA,1845,Sorfold,0.91147389386826,y
2011,0,0.7415706359368331,1845,Sorfold,0.7415706359368331,n
2012,0.4090909090909091,0.8636363636363636,1845,Sorfold,0.8636363636363636,n
2013,0,0.8636363636363636,1845,Sorfold,0.8636363636363636,n
2014,0,1,1845,Sorfold,1,n
2015,0,1,1845,Sorfold,1,n
2017,0,1,1845,Sorfold,1,n
2018,0,NA,1845,Sorfold,0.91147389386826,y
2005,NA,NA,1845,Sorfold,0.91147389386826,y
2006,NA,NA,1845,Sorfold,0.91147389386826,y
2007,NA,NA,1845,Sorfold,0.91147389386826,y
2008,NA,NA,1845,Sorfold,0.91147389386826,y
2009,NA,NA,1845,Sorfold,0.91147389386826,y
2016,NA,NA,1845,Sorfold,0.91147389386826,y
2010,0,NA,1870,Sortland,0.9374555921267452,y
2011,0.2,0.9333333333333332,1870,Sortland,0.9333333333333332,n
2012,0,0.9103130755064456,1870,Sortland,0.9103130755064456,n
2013,0.06906077348066299,0.9769797421731123,1870,Sortland,0.9769797421731123,n
2014,0,0.9769797421731123,1870,Sortland,0.9769797421731123,n
2015,0,0.9135638297872339,1870,Sortland,0.9135638297872339,n
2017,0.25930851063829785,0.9135638297872339,1870,Sortland,0.9135638297872339,n
2018,0,NA,1870,Sortland,0.9374555921267452,y
2005,NA,NA,1870,Sortland,0.9374555921267452,y
2006,NA,NA,1870,Sortland,0.9374555921267452,y
2007,NA,NA,1870,Sortland,0.9374555921267452,y
2008,NA,NA,1870,Sortland,0.9374555921267452,y
2009,NA,NA,1870,Sortland,0.9374555921267452,y
2016,NA,NA,1870,Sortland,0.9374555921267452,y
2010,0.20270270270270271,NA,1848,Steigen,0.9165410132902393,y
2011,0,0.9324324324324325,1848,Steigen,0.9324324324324325,n
2012,0,1,1848,Steigen,1,n
2013,0,1,1848,Steigen,1,n
2014,0,0.9326599326599326,1848,Steigen,0.9326599326599326,n
2015,0.20202020202020202,0.8170768573245354,1848,Steigen,0.8170768573245354,n
2017,0.34674922600619196,0.8170768573245354,1848,Steigen,0.8170768573245354,n
2018,0,NA,1848,Steigen,0.9165410132902393,y
2005,NA,NA,1848,Steigen,0.9165410132902393,y
2006,NA,NA,1848,Steigen,0.9165410132902393,y
2007,NA,NA,1848,Steigen,0.9165410132902393,y
2008,NA,NA,1848,Steigen,0.9165410132902393,y
2009,NA,NA,1848,Steigen,0.9165410132902393,y
2016,NA,NA,1848,Steigen,0.9165410132902393,y
2010,0,NA,1928,Torsken,1,y
2011,0,1,1928,Torsken,1,n
2012,0,1,1928,Torsken,1,n
2013,0,1,1928,Torsken,1,n
2014,0,1,1928,Torsken,1,n
2015,0,1,1928,Torsken,1,n
2017,0,1,1928,Torsken,1,n
2018,0,NA,1928,Torsken,1,y
2005,NA,NA,1928,Torsken,1,y
2006,NA,NA,1928,Torsken,1,y
2007,NA,NA,1928,Torsken,1,y
2008,NA,NA,1928,Torsken,1,y
2009,NA,NA,1928,Torsken,1,y
2016,NA,NA,1928,Torsken,1,y
2010,0,NA,1927,Tranoy,1,y
2011,0,1,1927,Tranoy,1,n
2012,0,1,1927,Tranoy,1,n
2013,0,1,1927,Tranoy,1,n
2014,0,1,1927,Tranoy,1,n
2015,0,1,1927,Tranoy,1,n
2017,0,1,1927,Tranoy,1,n
2018,0,NA,1927,Tranoy,1,y
2005,NA,NA,1927,Tranoy,1,y
2006,NA,NA,1927,Tranoy,1,y
2007,NA,NA,1927,Tranoy,1,y
2008,NA,NA,1927,Tranoy,1,y
2009,NA,NA,1927,Tranoy,1,y
2016,NA,NA,1927,Tranoy,1,y
2010,0,NA,1902,Tromso,1,y
2011,0,1,1902,Tromso,1,n
2013,0,1,1902,Tromso,1,n
2014,0,1,1902,Tromso,1,n
2015,0,1,1902,Tromso,1,n
2017,0,1,1902,Tromso,1,n
2018,0,NA,1902,Tromso,1,y
2005,NA,NA,1902,Tromso,1,y
2006,NA,NA,1902,Tromso,1,y
2007,NA,NA,1902,Tromso,1,y
2008,NA,NA,1902,Tromso,1,y
2009,NA,NA,1902,Tromso,1,y
2012,NA,NA,1902,Tromso,1,y
2016,NA,NA,1902,Tromso,1,y
2010,0,NA,1850,Tysfjord,0.9814814814814814,y
2011,0,1,1850,Tysfjord,1,n
2012,0,1,1850,Tysfjord,1,n
2013,0,1,1850,Tysfjord,1,n
2014,0,0.9629629629629629,1850,Tysfjord,0.9629629629629629,n
2015,0.1111111111111111,0.9629629629629629,1850,Tysfjord,0.9629629629629629,n
2017,0,0.9629629629629629,1850,Tysfjord,0.9629629629629629,n
2018,0,NA,1850,Tysfjord,0.9814814814814814,y
2005,NA,NA,1850,Tysfjord,0.9814814814814814,y
2006,NA,NA,1850,Tysfjord,0.9814814814814814,y
2007,NA,NA,1850,Tysfjord,0.9814814814814814,y
2008,NA,NA,1850,Tysfjord,0.9814814814814814,y
2009,NA,NA,1850,Tysfjord,0.9814814814814814,y
2016,NA,NA,1850,Tysfjord,0.9814814814814814,y
2010,0.42105263157894735,NA,1865,Vagan,0.6730387376278192,y
2011,0.39603960396039606,0.6165248103757744,1865,Vagan,0.6165248103757744,n
2012,0.3333333333333333,0.6740599525791088,1865,Vagan,0.6740599525791088,n
2013,0.2484472049689441,0.8060731538992408,1865,Vagan,0.8060731538992408,n
2014,0,0.5919810129778317,1865,Vagan,0.5919810129778317,n
2015,0.975609756097561,0.6747967479674797,1865,Vagan,0.6747967479674797,n
2017,0,0.6747967479674797,1865,Vagan,0.6747967479674797,n
2018,0,NA,1865,Vagan,0.6730387376278192,y
2005,NA,NA,1865,Vagan,0.6730387376278192,y
2006,NA,NA,1865,Vagan,0.6730387376278192,y
2007,NA,NA,1865,Vagan,0.6730387376278192,y
2008,NA,NA,1865,Vagan,0.6730387376278192,y
2009,NA,NA,1865,Vagan,0.6730387376278192,y
2016,NA,NA,1865,Vagan,0.6730387376278192,y
2010,0,NA,1824,Vefsn,1,y
2012,0,1,1824,Vefsn,1,n
2013,0,1,1824,Vefsn,1,n
2014,0,1,1824,Vefsn,1,n
2015,0,1,1824,Vefsn,1,n
2018,0,NA,1824,Vefsn,1,y
2005,NA,NA,1824,Vefsn,1,y
2006,NA,NA,1824,Vefsn,1,y
2007,NA,NA,1824,Vefsn,1,y
2008,NA,NA,1824,Vefsn,1,y
2009,NA,NA,1824,Vefsn,1,y
2011,NA,NA,1824,Vefsn,1,y
2016,NA,NA,1824,Vefsn,1,y
2017,NA,NA,1824,Vefsn,1,y
2010,0,NA,1815,Vega,1,y
2012,0,1,1815,Vega,1,n
2014,0,1,1815,Vega,1,n
2015,0,1,1815,Vega,1,n
2018,0,NA,1815,Vega,1,y
2005,NA,NA,1815,Vega,1,y
2006,NA,NA,1815,Vega,1,y
2007,NA,NA,1815,Vega,1,y
2008,NA,NA,1815,Vega,1,y
2009,NA,NA,1815,Vega,1,y
2011,NA,NA,1815,Vega,1,y
2013,NA,NA,1815,Vega,1,y
2016,NA,NA,1815,Vega,1,y
2017,NA,NA,1815,Vega,1,y
2010,0,NA,1860,Vestvagoy,0.8333333333333333,y
2011,0,1,1860,Vestvagoy,1,n
2012,0,1,1860,Vestvagoy,1,n
2013,0,0.6666666666666666,1860,Vestvagoy,0.6666666666666666,n
2017,1,0.6666666666666666,1860,Vestvagoy,0.6666666666666666,n
2018,0,NA,1860,Vestvagoy,0.8333333333333333,y
2005,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2006,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2007,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2008,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2009,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2014,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2015,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2016,NA,NA,1860,Vestvagoy,0.8333333333333333,y
2014,0,1,2028,Batsfjord,1,n
2017,0,1,2028,Batsfjord,1,n
2018,0,1,2028,Batsfjord,1,n
2005,NA,NA,2028,Batsfjord,1,y
2006,NA,NA,2028,Batsfjord,1,y
2007,NA,NA,2028,Batsfjord,1,y
2008,NA,NA,2028,Batsfjord,1,y
2009,NA,NA,2028,Batsfjord,1,y
2010,NA,NA,2028,Batsfjord,1,y
2011,NA,NA,2028,Batsfjord,1,y
2012,NA,NA,2028,Batsfjord,1,y
2013,NA,NA,2028,Batsfjord,1,y
2015,NA,NA,2028,Batsfjord,1,y
2016,NA,NA,2028,Batsfjord,1,y
2010,0,1,1859,Flakstad,1,n
2017,0,1,1859,Flakstad,1,n
2005,NA,NA,1859,Flakstad,1,y
2006,NA,NA,1859,Flakstad,1,y
2007,NA,NA,1859,Flakstad,1,y
2008,NA,NA,1859,Flakstad,1,y
2009,NA,NA,1859,Flakstad,1,y
2011,NA,NA,1859,Flakstad,1,y
2012,NA,NA,1859,Flakstad,1,y
2013,NA,NA,1859,Flakstad,1,y
2014,NA,NA,1859,Flakstad,1,y
2015,NA,NA,1859,Flakstad,1,y
2016,NA,NA,1859,Flakstad,1,y
2018,NA,NA,1859,Flakstad,1,y
2015,0,1,2015,Hasvik,1,n
2018,0.7202797202797203,0.2797202797202797,2015,Hasvik,0.2797202797202797,n
2005,NA,NA,2015,Hasvik,0.6398601398601398,y
2006,NA,NA,2015,Hasvik,0.6398601398601398,y
2007,NA,NA,2015,Hasvik,0.6398601398601398,y
2008,NA,NA,2015,Hasvik,0.6398601398601398,y
2009,NA,NA,2015,Hasvik,0.6398601398601398,y
2010,NA,NA,2015,Hasvik,0.6398601398601398,y
2011,NA,NA,2015,Hasvik,0.6398601398601398,y
2012,NA,NA,2015,Hasvik,0.6398601398601398,y
2013,NA,NA,2015,Hasvik,0.6398601398601398,y
2014,NA,NA,2015,Hasvik,0.6398601398601398,y
2016,NA,NA,2015,Hasvik,0.6398601398601398,y
2017,NA,NA,2015,Hasvik,0.6398601398601398,y
2012,1,0,1925,Sorreisa,0,n
2013,0,1,1925,Sorreisa,1,n
2014,1,0,1925,Sorreisa,0,n
2005,NA,NA,1925,Sorreisa,0.3333333333333333,y
2006,NA,NA,1925,Sorreisa,0.3333333333333333,y
2007,NA,NA,1925,Sorreisa,0.3333333333333333,y
2008,NA,NA,1925,Sorreisa,0.3333333333333333,y
2009,NA,NA,1925,Sorreisa,0.3333333333333333,y
2010,NA,NA,1925,Sorreisa,0.3333333333333333,y
2011,NA,NA,1925,Sorreisa,0.3333333333333333,y
2015,NA,NA,1925,Sorreisa,0.3333333333333333,y
2016,NA,NA,1925,Sorreisa,0.3333333333333333,y
2017,NA,NA,1925,Sorreisa,0.3333333333333333,y
2018,NA,NA,1925,Sorreisa,0.3333333333333333,y
2017,0,1,1852,Tjeldsund,1,n
2005,NA,NA,1852,Tjeldsund,1,y
2006,NA,NA,1852,Tjeldsund,1,y
2007,NA,NA,1852,Tjeldsund,1,y
2008,NA,NA,1852,Tjeldsund,1,y
2009,NA,NA,1852,Tjeldsund,1,y
2010,NA,NA,1852,Tjeldsund,1,y
2011,NA,NA,1852,Tjeldsund,1,y
2012,NA,NA,1852,Tjeldsund,1,y
2013,NA,NA,1852,Tjeldsund,1,y
2014,NA,NA,1852,Tjeldsund,1,y
2015,NA,NA,1852,Tjeldsund,1,y
2016,NA,NA,1852,Tjeldsund,1,y
2018,NA,NA,1852,Tjeldsund,1,y
2011,0,1,1835,Traena,1,n
2013,0,1,1835,Traena,1,n
2018,0,1,1835,Traena,1,n
2005,NA,NA,1835,Traena,1,y
2006,NA,NA,1835,Traena,1,y
2007,NA,NA,1835,Traena,1,y
2008,NA,NA,1835,Traena,1,y
2009,NA,NA,1835,Traena,1,y
2010,NA,NA,1835,Traena,1,y
2012,NA,NA,1835,Traena,1,y
2014,NA,NA,1835,Traena,1,y
2015,NA,NA,1835,Traena,1,y
2016,NA,NA,1835,Traena,1,y
2017,NA,NA,1835,Traena,1,y
2012,0,1,1816,Vevelstad,1,n
2017,0,1,1816,Vevelstad,1,n
2018,0,1,1816,Vevelstad,1,n
2005,NA,NA,1816,Vevelstad,1,y
2006,NA,NA,1816,Vevelstad,1,y
2007,NA,NA,1816,Vevelstad,1,y
2008,NA,NA,1816,Vevelstad,1,y
2009,NA,NA,1816,Vevelstad,1,y
2010,NA,NA,1816,Vevelstad,1,y
2011,NA,NA,1816,Vevelstad,1,y
2013,NA,NA,1816,Vevelstad,1,y
2014,NA,NA,1816,Vevelstad,1,y
2015,NA,NA,1816,Vevelstad,1,y
2016,NA,NA,1816,Vevelstad,1,y
