"","year","county","municip_number","municip","production_final","feed_kg","efcr_region","reference_efcr","efcr_score","prop_below_lice","lice_score","proportion_biomass_bad_momb","momb_score","mean_sustain_score","seaarea","prod_area","maxprod_area","prod_prop_area","aqua_score_area"
"240",2016,"Troms",1917,"Ibestad",12459378.79664,16784457,1.22930794511588,1.20884798699381,0.983356523315933,0.946538461538462,0.946538461538462,NA,1,0.976374487720648,351.66,35430.1848280726,181158.02372089,0.1955761279592,19.0955541746552
"241",2017,"Troms",1917,"Ibestad",14580672.80616,14732673,1.19277276120228,1.18855767041856,0.996466140977705,0.982558139534884,0.982558139534884,0,1,0.992979466650091,351.66,41462.4148500256,213718.888359355,0.194004447469843,19.264243277635
"242",2018,"Troms",1917,"Ibestad",17046349.17048,23423533,1.18247659218115,1.15415056810372,0.976045171409957,0.947386889177507,0.947386889177507,0,1,0.974239564378245,351.66,48473.9497539669,127051.292751092,0.381530551199766,37.1702157997852
"243",2005,"Troms",1917,"Ibestad",2944294.10256,3689406,1.3283143565941,1.17623110307944,0.885506580005196,1,1,NA,1,0.960278630062064,351.66,8372.55901313769,53364.7520671726,0.156893055599673,15.0661048497505
"244",2006,"Troms",1940,"Kafjord",1661153.3848,2416751,1.42578423069247,1.2919824295079,0.906155645220182,1,1,NA,1,0.96768557409815,124.17,13378.0573793992,107012.283562146,0.125014222050781,12.0974459235644
"245",2007,"Troms",1940,"Kafjord",4964040.05064,5577533,1.38309255533183,1.37651251017426,0.995242512778917,1,1,NA,1,0.998411649404419,124.17,39977.7728166224,135874.461723506,0.29422580453694,29.3758470805069
"246",2008,"Troms",1940,"Kafjord",1346630.05696,1584598,1.38507178070716,1.28814565946673,0.930020867805897,NA,1,NA,1,0.976107308354224,124.17,10845.0515982927,164736.639884867,0.0658326623990399,6.42597428961192
"247",2009,"Troms",1940,"Kafjord",3183898.02896,4811655,1.37566470803413,1.24147946044329,0.902457883227525,NA,1,NA,1,0.966367496892802,124.17,25641.443415962,181971.835391191,0.140908857465991,13.6169739879434
"248",2011,"Troms",1940,"Kafjord",763801.52752,1090461,1.29053062695158,1.29053062695158,1,NA,1,0,1,1,124.17,6151.25656374326,121986.97818055,0.0504255179978223,5.04255179978223
"249",2012,"Troms",1940,"Kafjord",4624207.99104,6217976,1.26235960493737,1.26235960493737,1,1,1,0,1,1,124.17,37240.9437951196,125686.780826335,0.296299607248088,29.6299607248088
"250",2013,"Troms",1940,"Kafjord",3958736.0032,4572174,1.19861379343724,1.19861379343724,1,1,1,0,1,1,124.17,31881.5817282758,188225.773299608,0.169379470034257,16.9379470034257
"251",2014,"Troms",1940,"Kafjord",917166.53984,1653975,1.15775147187438,1.15775147187438,1,1,1,0,1,1,124.17,7386.37786776194,113206.377398058,0.0652470120282166,6.52470120282166
"252",2015,"Troms",1940,"Kafjord",3509476.92656,4589825,1.2839955626662,1.26086687479015,0.981986940961054,1,1,0,1,0.993959229557207,124.17,28263.484952565,134594.780267383,0.209989457959791,20.872095984885
"253",2016,"Troms",1940,"Kafjord",1429637.16824,2643601,1.22930794511588,1.20884798699381,0.983356523315933,1,1,NA,1,0.99442110828508,124.17,11513.5472999919,181158.02372089,0.0635552710473972,6.32007030723114
"254",2017,"Troms",1940,"Kafjord",2286375.36192,2645987,1.19277276120228,1.18855767041856,0.996466140977705,1,1,0,1,0.998820656688686,124.17,18413.2669881614,213718.888359355,0.0861564793337343,8.60548712661057
"255",2018,"Troms",1940,"Kafjord",879652.43168,997433,1.18247659218115,1.15415056810372,0.976045171409957,NA,1,0,1,0.991950435506607,124.17,7084.25893275348,127051.292751092,0.0557590464398688,5.53102103994609
"256",2005,"Troms",1940,"Kafjord",2589960.58992,5631146,1.3283143565941,1.17623110307944,0.885506580005196,1,1,NA,1,0.960278630062064,124.17,20858.1830548442,53364.7520671726,0.390860675761953,37.5335154265821
"257",2006,"Troms",1936,"Karlsoy",5162228.40648,6441723,1.42578423069247,1.2919824295079,0.906155645220182,1,1,NA,0.961352657004831,0.955055281173475,4796.75,1076.19292364205,107012.283562146,0.0100567232827722,0.960472668251182
"258",2007,"Troms",1936,"Karlsoy",3295296.54072,5229919,1.38309255533183,1.37651251017426,0.995242512778917,NA,0.996497058497058,NA,0.961352657004831,0.984228395188751,4796.75,686.98525891906,135874.461723506,0.00505602929501954,0.49762875990644
"259",2008,"Troms",1936,"Karlsoy",6605109.0504,9703917,1.38507178070716,1.28814565946673,0.930020867805897,NA,0.996497058497058,NA,0.961352657004831,0.96224090554891,4796.75,1376.99672703393,164736.639884867,0.00835877633534532,0.804315651020348
"260",2009,"Troms",1936,"Karlsoy",5759982.01232,7691306,1.37566470803413,1.24147946044329,0.902457883227525,1,1,NA,0.961352657004831,0.953754407594643,4796.75,1200.80930053057,181971.835391191,0.00659887447938935,0.62937056198814
"261",2010,"Troms",1936,"Karlsoy",10526450.5196,12485357,1.27685660916767,1.27685660916767,1,1,1,0,0.961352657004831,0.986947937157743,4796.75,2194.49638184187,88338.494172657,0.024841903887933,2.45176657972664
"262",2011,"Troms",1936,"Karlsoy",8891519.80424,12403717,1.29053062695158,1.29053062695158,1,1,1,0.347826086956522,0.884057971014493,0.959754701148458,4796.75,1853.65503814875,121986.97818055,0.0151955156672969,1.45839675980633
"263",2012,"Troms",1936,"Karlsoy",6839744.09904,8948574,1.26235960493737,1.26235960493737,1,1,1,0,0.884057971014493,0.959754701148458,4796.75,1425.91214865065,125686.780826335,0.0113449651528658,1.08883836398283
