"year","county","municip_number","municip","production_final","feed_kg","gapfilled"
2012,"Finnmark",2004,"Hammerfest",11472575.21304,17473890,"n"
2013,"Finnmark",2004,"Hammerfest",18982023.72448,25913238,"n"
2014,"Finnmark",2004,"Hammerfest",9468056.83856,15127665,"n"
2015,"Finnmark",2004,"Hammerfest",14954791.96584,21289982,"n"
2016,"Finnmark",2004,"Hammerfest",15875206.08408,21234758,"n"
2017,"Finnmark",2004,"Hammerfest",14375853.84968,21028491,"n"
2018,"Finnmark",2004,"Hammerfest",17951227.69112,24402694,"n"
2005,"Finnmark",2004,"Hammerfest",3303701.21664,5343202,"n"
2006,"Troms",1903,"Harstad",3182648.28,5941257,"n"
2007,"Troms",1903,"Harstad",1258713.9376,4389752,"n"
2008,"Troms",1903,"Harstad",4732608.3964,7273457,"n"
2009,"Troms",1903,"Harstad",8142516.6704,10802234,"n"
2010,"Troms",1903,"Harstad",9552209.968,15297121,"n"
2011,"Troms",1903,"Harstad",10021294.43512,13916511,"n"
2012,"Troms",1903,"Harstad",18302250.81048,21143940,"n"
2013,"Troms",1903,"Harstad",12004128.56368,16187716,"n"
2014,"Troms",1903,"Harstad",16491717.35192,22284894,"n"
2015,"Troms",1903,"Harstad",20689171.98264,27718001,"n"
2016,"Troms",1903,"Harstad",17002542.30656,21167391,"n"
2017,"Troms",1903,"Harstad",30958449.16216,34086214,"n"
2018,"Troms",1903,"Harstad",17475779.23888,22498817,"n"
2005,"Troms",1903,"Harstad",3602967.4884,5235541,"n"
2015,"Finnmark",2015,"Hasvik",5747612.60304,7328816,"n"
2016,"Finnmark",2015,"Hasvik",2926896.412,4898272,"n"
2017,"Finnmark",2015,"Hasvik",2679547.27896,3630918,"n"
2018,"Finnmark",2015,"Hasvik",8570897.00544,10131798,"n"
2014,"Finnmark",2015,"Hasvik",533889.05008,962076,"n"
2006,"Nordland",1818,"Heroy",6680206.08696,7911931,"n"
2007,"Nordland",1818,"Heroy",2800050.1004,3981401,"n"
2008,"Nordland",1818,"Heroy",5230036.25976,6969246,"n"
2009,"Nordland",1818,"Heroy",4369376.64744,5630120,"n"
2010,"Nordland",1818,"Heroy",5919321.78088,6582445,"n"
2011,"Nordland",1818,"Heroy",5228481.72168,6822166,"n"
2012,"Nordland",1818,"Heroy",8342523.65488,11954577,"n"
2013,"Nordland",1818,"Heroy",6802906.57592,9896954,"n"
2014,"Nordland",1818,"Heroy",8092439.31584,11310273,"n"
2015,"Nordland",1818,"Heroy",10328009.5128,12012105,"n"
2016,"Nordland",1818,"Heroy",16070394.15136,16344916,"n"
2017,"Nordland",1818,"Heroy",13464591.20928,17704210,"n"
2018,"Nordland",1818,"Heroy",17221006.26344,21952216,"n"
2005,"Nordland",1818,"Heroy",2923917.5276,3376002,"n"
2006,"Troms",1917,"Ibestad",3955807.76528,5193959,"n"
2007,"Troms",1917,"Ibestad",1515787.91216,2054797,"n"
2008,"Troms",1917,"Ibestad",5149808.54552,7472909,"n"
2009,"Troms",1917,"Ibestad",4870427.87792,7714524,"n"
2010,"Troms",1917,"Ibestad",5818514.75768,7379674,"n"
2011,"Troms",1917,"Ibestad",8828318.71424,12311979,"n"
2012,"Troms",1917,"Ibestad",8837150.00536,12530918,"n"
2013,"Troms",1917,"Ibestad",8743962.0136,13714834,"n"
2014,"Troms",1917,"Ibestad",13942747.7296,19120345,"n"
2015,"Troms",1917,"Ibestad",8337453.06432,10479383,"n"
2016,"Troms",1917,"Ibestad",12459378.79664,16784457,"n"
2017,"Troms",1917,"Ibestad",14580672.80616,14732673,"n"
2018,"Troms",1917,"Ibestad",17046349.17048,23423533,"n"
2005,"Troms",1917,"Ibestad",2944294.10256,3689406,"n"
2006,"Troms",1940,"Kafjord",1661153.3848,2416751,"n"
2007,"Troms",1940,"Kafjord",4964040.05064,5577533,"n"
2008,"Troms",1940,"Kafjord",1346630.05696,1584598,"n"
2009,"Troms",1940,"Kafjord",3183898.02896,4811655,"n"
2011,"Troms",1940,"Kafjord",763801.52752,1090461,"n"
2012,"Troms",1940,"Kafjord",4624207.99104,6217976,"n"
2013,"Troms",1940,"Kafjord",3958736.0032,4572174,"n"
2014,"Troms",1940,"Kafjord",917166.53984,1653975,"n"
2015,"Troms",1940,"Kafjord",3509476.92656,4589825,"n"
2016,"Troms",1940,"Kafjord",1429637.16824,2643601,"n"
2017,"Troms",1940,"Kafjord",2286375.36192,2645987,"n"
2018,"Troms",1940,"Kafjord",879652.43168,997433,"n"
2005,"Troms",1940,"Kafjord",2589960.58992,5631146,"n"
2006,"Troms",1936,"Karlsoy",5162228.40648,6441723,"n"
2007,"Troms",1936,"Karlsoy",3295296.54072,5229919,"n"
2008,"Troms",1936,"Karlsoy",6605109.0504,9703917,"n"
2009,"Troms",1936,"Karlsoy",5759982.01232,7691306,"n"
2010,"Troms",1936,"Karlsoy",10526450.5196,12485357,"n"
2011,"Troms",1936,"Karlsoy",8891519.80424,12403717,"n"
2012,"Troms",1936,"Karlsoy",6839744.09904,8948574,"n"
2013,"Troms",1936,"Karlsoy",5962707.08656,8371690,"n"
2014,"Troms",1936,"Karlsoy",11929520.3944,16356752,"n"
2015,"Troms",1936,"Karlsoy",12123801.2952,14312989,"n"
2016,"Troms",1936,"Karlsoy",9222044.35968,13299613,"n"
2017,"Troms",1936,"Karlsoy",21065916.40224,24682109,"n"
2018,"Troms",1936,"Karlsoy",13297196.43264,19241721,"n"
2005,"Troms",1936,"Karlsoy",2799942.25208,4191541,"n"
2006,"Troms",1911,"Kvaefjord",3804012.60768,6322215,"n"
2007,"Troms",1911,"Kvaefjord",6382082.93944,8608643,"n"
