"","year","kommunenr","kommune","biomchange_salmon","biomchange_trout","feed_used_kg","uttak_laks_kg","uttak_regnb_kg","lost_final_kg","production_final","efcr","county"
"101",2006,1836,"Rodoy",660309.855,477644.485,15691520,12356579.509,0,56988,13437545.849,1.16773703891531,"Nordland"
"102",2006,1837,"Meloy",1134295.383,0,6536083,5835906.036,0,17784,6952417.419,0.940116596298977,"Nordland"
"103",2006,1838,"Gildeskal",1009541.409,0,10928195,2936890.941,4791998,2196,8736234.35,1.250904515857,"Nordland"
"104",2006,1840,"Saltdal",0,0,305514,503741.25,0,402,503339.25,0.606974321990586,"Nordland"
"105",2006,1841,"Fauske",902376.277,0,2441565,1608367.764,0,1530,2509214.041,0.973039748744177,"Nordland"
"106",2006,1845,"Sorfold",0,0,6623002,7386419.484,0,53460,7332959.484,0.903182680124024,"Nordland"
"107",2006,1848,"Steigen",4276842.811,0,12818904,8277160.5,0,30900,12523103.311,1.02362039836725,"Nordland"
"108",2006,1849,"Hamaroy",0,0,1237825,1761493.5,0,21558,1739935.5,0.711420049766213,"Nordland"
"109",2006,1850,"Tysfjord",0,0,1011064,1035932.82,0,0,1035932.82,0.975993790794272,"Nordland"
"110",2006,1851,"Lodingen",1695765.682,0,5947243,3414237,0,810,5109192.682,1.16402793360143,"Nordland"
"111",2006,1854,"Ballangen",57752.235,23993.132,1113160,740853,0,90,822508.367,1.35337225086246,"Nordland"
"112",2006,1859,"Flakstad",0,0,3249855,2727375,0,444,2726931,1.19176282788233,"Nordland"
"113",2006,1860,"Vestvagoy",1588914.795,12398.9,3115758,0,320,0,1601633.695,1.94536241946383,"Nordland"
"114",2006,1865,"Vagan",0,0,9030223,8667430,904233,11508,9560155,0.94456868115632,"Nordland"
"115",2006,1866,"Hadsel",1075895.925,0,7700290,4061097.75,1678288,22002,6793279.675,1.13351582275317,"Nordland"
"116",2006,1867,"Bo",663678.85,0,4661259,3164747.25,0,38796,3789630.1,1.23000368822276,"Nordland"
"117",2006,1868,"Oksnes",252259.824,993163.918,10403192,5312185.875,482851.005,37998,7002462.622,1.4856476302088,"Nordland"
"118",2006,1870,"Sortland",170877.087,0,5005755,3904451.625,0,0,4075328.712,1.22830705294037,"Nordland"
"119",2007,2004,"Hammerfest",6001586.462,0,8145615,1101313.563,0,1800,7101100.025,1.14709199579258,"Finnmark"
"120",2007,2012,"Alta",0,0,18518323,14689234.237,0,50298,14638936.237,1.26500469024483,"Finnmark"
"121",2007,2014,"Loppa",1079208.154,0,9113491,4322953.125,1151676.775,10212,6543626.054,1.39272796531964,"Finnmark"
"122",2007,2017,"Kvalsund",0,0,1063448,3407505,0,0,3407505,0.312089930902523,"Finnmark"
"123",2007,2019,"Nordkapp",0,1095037.71,1146273,0,0,0,1095037.71,1.04678860785534,"Finnmark"
"124",2007,2027,"Nesseby",0,111090.391,93519,0,0,0,111090.391,0.841827984924457,"Finnmark"
"125",2007,2030,"Sor-Varanger",297483.964,774972.592,2228741,366605,600445,0,2039506.556,1.09278442545002,"Finnmark"
"126",2007,1902,"Tromso",2219387.643,0,8165682,4979252.846,0,45984,7152656.489,1.14162926914747,"Troms"
"127",2007,1903,"Harstad",0,473567.21,4389752,4107454,0,1844610,2736411.21,1.60420041547776,"Troms"
"128",2007,1911,"Kvaefjord",149037.43,0,8608643,4480296.125,1216980.205,0,5846313.76,1.47249076142639,"Troms"
"129",2007,1913,"Skanland",440019.07,481130.13,6554603,5524244,0,0,6445393.2,1.01694385379002,"Troms"
"130",2007,1917,"Ibestad",0,0,2054797,3798985.875,0,900,3798085.875,0.541008567901325,"Troms"
"131",2007,1919,"Gratangen",1208362.266,0,5836552,1074111.875,0,1962,2280512.141,2.55931634612596,"Troms"
"132",2007,1920,"Lavangen",0,0,1052201,71129.25,0,0,71129.25,14.7928032419855,"Troms"
"133",2007,1923,"Salangen",0,0,1625758,543080.25,0,0,543080.25,2.99358704353546,"Troms"
"134",2007,1926,"Dyroy",4533052.032,0,10278064,3778630.375,0,14664,8297018.407,1.23876596336446,"Troms"
"135",2007,1927,"Tranoy",2114843.072,906877.13,11755458,6309620,0,0,9331340.202,1.25978238340088,"Troms"
"136",2007,1928,"Torsken",0,176304,7316969,8863552.5,0,2190,9037666.5,0.809608210260912,"Troms"
"137",2007,1929,"Berg",1234839.597,107066.368,3258979,660062,0,0,2001967.965,1.62788768700402,"Troms"
"138",2007,1931,"Lenvik",352678.355,0,1415500,2097859.375,0,2352,2448185.73,0.578183257362586,"Troms"
"139",2007,1936,"Karlsoy",0,0,5229919,4163290.875,0,21522,4141768.875,1.26272594097854,"Troms"
"140",2007,1938,"Lyngen",1377265.815,0,5372027,1970902.125,0,44436,3303731.94,1.62604808669798,"Troms"
"141",2007,1940,"Kafjord",0,0,5577533,6630992.895,0,96318,6534674.895,0.853528766100919,"Troms"
"142",2007,1941,"Skjervoy",501682.984,120267.256,5899888,5051055.375,291490.7,17076,5947420.315,0.992007910575932,"Troms"
"143",2007,1942,"Nordreisa",1429498.051,0,5793586,4383256.5,0,39528,5773226.551,1.00352652867857,"Troms"
"144",2007,1943,"Kvaenangen",460945.098,19143.798,6679453,5789995,0,0,6270083.896,1.06528925462403,"Troms"
"145",2007,1804,"Bodo",0,0,1615891,907737.648,0,150,907587.648,1.78042418664561,"Nordland"
"146",2007,1811,"Bindal",232985.909,0,4797859,3863578.75,0,0,4096564.659,1.17119083900196,"Nordland"
"147",2007,1812,"Somna",0,0,3415278,6364690.302,0,51942,6312748.302,0.541012857889166,"Nordland"
"148",2007,1813,"Bronnoy",1136829.217,0,5345480,3541037.61,0,10674,4667192.827,1.14533086549929,"Nordland"
"149",2007,1815,"Vega",1287050.887,0,1179000,162038.25,0,408,1448681.137,0.813843688502448,"Nordland"
"150",2007,1816,"Vevelstad",0,6963.52099999995,6804301,7373667.375,1164972.515,46776,8498827.411,0.800616446357437,"Nordland"
"151",2007,1818,"Heroy",0,0,3981401,4325063.647,0,20466,4304597.647,0.924918267976742,"Nordland"
"152",2007,1820,"Alstahaug",0,0,4419500,5454847.125,0,44148,5410699.125,0.816807569206687,"Nordland"
"153",2007,1824,"Vefsn",1331629.299,0,1528000,0,0,0,1331629.299,1.14746649172369,"Nordland"
"154",2007,1827,"Donna",425103.169,801.99,4907730,3673765.875,17370,17628,4099413.034,1.19717870809697,"Nordland"
"155",2007,1828,"Nesna",0,0,1502050,1399224.375,0,7938,1391286.375,1.07961238389904,"Nordland"
"156",2007,1833,"Rana",0,0,3528000,3823329.375,0,16554,3806775.375,0.926768630260986,"Nordland"
"157",2007,1834,"Luroy",3245262.405,0,14395368,10253977.002,0,15228,13484011.407,1.06758794289709,"Nordland"
"158",2007,1835,"Traena",0,0,2171500,3303822.375,0,21204,3282618.375,0.661514605699482,"Nordland"
"159",2007,1836,"Rodoy",0,2466559.389,10459464,10374475.903,452720,44232,13249523.292,0.789421911225695,"Nordland"
"160",2007,1837,"Meloy",551231.393,0,9441737,7510749.75,176552,27744,8210789.143,1.14991833739263,"Nordland"
"161",2007,1838,"Gildeskal",159749.683,0,10580468,4034380.125,4756165,15666,8934628.808,1.18420901722591,"Nordland"
"162",2007,1840,"Saltdal",2968889.15,0,2692144,423183.381,0,378,3391694.531,0.793746009669761,"Nordland"
"163",2007,1841,"Fauske",0,0,676000,1833800.265,0,7380,1826420.265,0.370122919108106,"Nordland"
"164",2007,1845,"Sorfold",4403057.802,0,6888438,1994389.011,0,22164,6375282.813,1.0804913604701,"Nordland"
"165",2007,1848,"Steigen",0,0,12903835,14304670.875,0,28302,14276368.875,0.903859735832162,"Nordland"
"166",2007,1849,"Hamaroy",5123065.989,0,5454894,0,0,0,5123065.989,1.06477137161857,"Nordland"
"167",2007,1850,"Tysfjord",872052.975,0,2228814,1389026.25,0,75120,2185959.225,1.01960456284357,"Nordland"
"168",2007,1851,"Lodingen",1366071.05,0,4112353,4130565,0,378,5496258.05,0.748209593252267,"Nordland"
"169",2007,1854,"Ballangen",0,209991.957,923130,885611.25,0,0,1095603.207,0.842576942183047,"Nordland"
"170",2007,1859,"Flakstad",802224.391,0,3006525,2100705,0,0,2902929.391,1.03568657554027,"Nordland"
"171",2007,1860,"Vestvagoy",0,65196.61,4150800,2695392.375,0,24,2760564.985,1.50360524840171,"Nordland"
"172",2007,1865,"Vagan",0,229174.59,6741290,5197890,0,9786,5417278.59,1.24440526511671,"Nordland"
"173",2007,1866,"Hadsel",1716030.597,0,12113287,6452204.75,1193248,0,9361483.347,1.29394953246185,"Nordland"
"174",2007,1867,"Bo",599481.778,0,3868423,2883823,0,163122,3320182.778,1.1651235063421,"Nordland"
"175",2007,1868,"Oksnes",0,0,11477917,7544762,1725554.8,15444,9254872.8,1.24020256658741,"Nordland"
"176",2007,1870,"Sortland",0,0,4096920,4614318,0,276,4614042,0.887924297178049,"Nordland"
"177",2008,2004,"Hammerfest",2452381.103,0,13034769,8741047.5,0,36840,11156588.603,1.16834719499247,"Finnmark"
"178",2008,2012,"Alta",0,0,11850434,15107265.647,0,198468,14908797.647,0.794861817873327,"Finnmark"
"179",2008,2014,"Loppa",0,0,8978921,6954824.25,1055212.905,122382,7887655.155,1.1383511098743,"Finnmark"
"180",2008,2017,"Kvalsund",0,0,2578180,1943530.875,0,67032,1876498.875,1.37393101288164,"Finnmark"
"181",2008,2019,"Nordkapp",0,2176736.92,3824147,0,1025741.051,20034,3182443.971,1.2016384372663,"Finnmark"
"182",2008,2027,"Nesseby",772864.839,1249968.798,2029287,0,0,0,2022833.637,1.00319025889325,"Finnmark"
"183",2008,2030,"Sor-Varanger",1740325.368,0,3787647,446922,1533889,0,3721136.368,1.01787374216435,"Finnmark"
"184",2008,1902,"Tromso",152591.237,0,7405534,6809706.199,0,88608,6873689.436,1.07737395891274,"Troms"
"185",2008,1903,"Harstad",3257199.75,0,7273457,1348819.625,1082518.81,0,5688538.185,1.27861618634806,"Troms"
"186",2008,1911,"Kvaefjord",0,300200.68,7996891,5475865,917673,0,6693738.68,1.1946822818007,"Troms"
"187",2008,1913,"Skanland",0,0,4606944,5283415.125,1317823.56,900,6600338.685,0.697986000395675,"Troms"
"188",2008,1917,"Ibestad",3460709.545,0,7472909,2736099,0,383580,5813228.545,1.28550063740871,"Troms"
"189",2008,1919,"Gratangen",0,0,617259,438651,0,1703460,0,0,"Troms"
"190",2008,1920,"Lavangen",3316519.887,0,4251077,1027159.875,0,0,4343679.762,0.978681033806838,"Troms"
"191",2008,1926,"Dyroy",922728.82,0,10971273,10247884.625,0,0,11170613.445,0.98215492407991,"Troms"
"192",2008,1927,"Tranoy",0,0,3859978,5779138.25,1097088,0,6876226.25,0.561351220809525,"Troms"
"193",2008,1928,"Torsken",2760981.107,516148.9,9442350,8797758.875,628790,2265498,10438180.882,0.904597276742229,"Troms"
"194",2008,1929,"Berg",0,0,3218243,0,0,0,0,0,"Troms"
"195",2008,1931,"Lenvik",3693357.194,392973.952,6117555,3476782.125,0,2562,7560551.271,0.809141394684419,"Troms"
"196",2008,1933,"Balsfjord",0,0,41515,0,0,0,0,0,"Troms"
"197",2008,1936,"Karlsoy",812344.454,0,9703917,5782106.166,0,119028,6475422.62,1.49857662881006,"Troms"
"198",2008,1938,"Lyngen",0,0,1367821,3349987.875,0,43806,3306181.875,0.413716199445319,"Troms"
"199",2008,1940,"Kafjord",1649772.792,0,1584598,0,0,0,1649772.792,0.960494686107055,"Troms"
"200",2008,1941,"Skjervoy",0,0,9297623,9142117.875,435670.885,85908,9491880.76,0.979534323606484,"Troms"
"201",2008,1942,"Nordreisa",383354.244,0,6873456,5001447.75,0,174,5384627.994,1.27649598220322,"Troms"
