Year,average_prop_locs_below_thr,Komnum_new,Kommune_new,replaced
2007,NA,1838,Gildeskal,0.9330977521330255
2008,NA,1838,Gildeskal,0.9330977521330255
2009,NA,1838,Gildeskal,0.9330977521330255
2010,NA,1838,Gildeskal,0.9330977521330255
2011,NA,1838,Gildeskal,0.9330977521330255
2013,1,1919,Gratangen,1
2014,1,1919,Gratangen,1
2015,1,1919,Gratangen,1
2016,1,1919,Gratangen,1
2017,0.7804878048780488,1919,Gratangen,0.7804878048780488
2018,0.9791666666666666,1919,Gratangen,0.9791666666666666
2019,1,1919,Gratangen,1
2004,NA,1919,Gratangen,0.965664924506388
2005,NA,1919,Gratangen,0.965664924506388
2006,NA,1919,Gratangen,0.965664924506388
2007,NA,1919,Gratangen,0.965664924506388
2008,NA,1919,Gratangen,0.965664924506388
2009,NA,1919,Gratangen,0.965664924506388
2010,NA,1919,Gratangen,0.965664924506388
2011,NA,1919,Gratangen,0.965664924506388
2012,NA,1919,Gratangen,0.965664924506388
2012,0.9002645502645502,1866,Hadsel,0.9002645502645502
2013,0.9571886446886447,1866,Hadsel,0.9571886446886447
2014,0.9513736263736263,1866,Hadsel,0.9513736263736263
2015,0.9732704402515723,1866,Hadsel,0.9732704402515723
2016,0.9575163398692811,1866,Hadsel,0.9575163398692811
2017,0.9794871794871794,1866,Hadsel,0.9794871794871794
2018,0.8866666666666667,1866,Hadsel,0.8866666666666667
2019,1,1866,Hadsel,1
2004,NA,1866,Hadsel,0.9507209309501901
2005,NA,1866,Hadsel,0.9507209309501901
2006,NA,1866,Hadsel,0.9507209309501901
2007,NA,1866,Hadsel,0.9507209309501901
2008,NA,1866,Hadsel,0.9507209309501901
2009,NA,1866,Hadsel,0.9507209309501901
2010,NA,1866,Hadsel,0.9507209309501901
2011,NA,1866,Hadsel,0.9507209309501901
2012,1,1849,Hamaroy,1
2013,1,1849,Hamaroy,1
2014,1,1849,Hamaroy,1
2015,1,1849,Hamaroy,1
2016,0.9803921568627451,1849,Hamaroy,0.9803921568627451
2017,1,1849,Hamaroy,1
2018,1,1849,Hamaroy,1
2019,1,1849,Hamaroy,1
2004,NA,1849,Hamaroy,0.9975490196078431
2005,NA,1849,Hamaroy,0.9975490196078431
2006,NA,1849,Hamaroy,0.9975490196078431
2007,NA,1849,Hamaroy,0.9975490196078431
2008,NA,1849,Hamaroy,0.9975490196078431
2009,NA,1849,Hamaroy,0.9975490196078431
