Year,below_lice,Municip_number,Municip,score_final,gf
2008,1,1838,Gildeskal,1,n
2009,0.9359477124183007,1838,Gildeskal,0.9359477124183007,n
2010,0.8932178932178932,1838,Gildeskal,0.8932178932178932,n
2011,0.8962962962962963,1838,Gildeskal,0.8962962962962963,n
2012,0.8480568523705778,1838,Gildeskal,0.8480568523705778,n
2013,0.9323602664819904,1838,Gildeskal,0.9323602664819904,n
2014,0.8798162242888409,1838,Gildeskal,0.8798162242888409,n
2015,0.9658258634739547,1838,Gildeskal,0.9658258634739547,n
2016,0.8773693725138958,1838,Gildeskal,0.8773693725138958,n
2017,0.98134559154296,1838,Gildeskal,0.98134559154296,n
2018,0.9622854561878952,1838,Gildeskal,0.9622854561878952,n
2019,NA,1838,Gildeskal,0.976078431372549,y
2005,1,1919,Gratangen,1,n
2006,0.7,1919,Gratangen,0.7,n
2007,0.8571428571428571,1919,Gratangen,0.8571428571428571,n
2016,1,1919,Gratangen,1,n
2018,0.9696969696969697,1919,Gratangen,0.9696969696969697,n
2008,NA,1919,Gratangen,0.9053679653679654,y
2009,NA,1919,Gratangen,0.9053679653679654,y
2010,NA,1919,Gratangen,0.9053679653679654,y
2011,NA,1919,Gratangen,0.9053679653679654,y
2012,NA,1919,Gratangen,0.9053679653679654,y
2013,NA,1919,Gratangen,0.9053679653679654,y
2014,NA,1919,Gratangen,0.9053679653679654,y
2015,NA,1919,Gratangen,0.9053679653679654,y
2017,NA,1919,Gratangen,0.9053679653679654,y
2019,NA,1919,Gratangen,0.9053679653679654,y
2012,0.984375,1866,Hadsel,0.984375,n
2013,0.93628420967737,1866,Hadsel,0.93628420967737,n
2014,0.9722222222222222,1866,Hadsel,0.9722222222222222,n
2015,1,1866,Hadsel,1,n
2016,0.9763888888888889,1866,Hadsel,0.9763888888888889,n
2017,0.9702631578947368,1866,Hadsel,0.9702631578947368,n
2018,0.8636363636363636,1866,Hadsel,0.8636363636363636,n
2005,NA,1866,Hadsel,0.9738540641576963,y
2006,NA,1866,Hadsel,0.9738540641576963,y
2007,NA,1866,Hadsel,0.9738540641576963,y
2008,NA,1866,Hadsel,0.9738540641576963,y
2009,NA,1866,Hadsel,0.9738540641576963,y
2010,NA,1866,Hadsel,0.9738540641576963,y
2011,NA,1866,Hadsel,0.9738540641576963,y
2019,NA,1866,Hadsel,0.9738540641576963,y
2005,1,1849,Hamaroy,1,n
2013,1,1849,Hamaroy,1,n
2014,1,1849,Hamaroy,1,n
2016,0.9607843137254902,1849,Hamaroy,0.9607843137254902,n
2017,1,1849,Hamaroy,1,n
2018,1,1849,Hamaroy,1,n
2006,NA,1849,Hamaroy,0.9921568627450981,y
2007,NA,1849,Hamaroy,0.9921568627450981,y
2008,NA,1849,Hamaroy,0.9921568627450981,y
2009,NA,1849,Hamaroy,0.9921568627450981,y
2010,NA,1849,Hamaroy,0.9921568627450981,y
2011,NA,1849,Hamaroy,0.9921568627450981,y
2012,NA,1849,Hamaroy,0.9921568627450981,y
2015,NA,1849,Hamaroy,0.9921568627450981,y
2019,NA,1849,Hamaroy,0.9921568627450981,y
2005,0.4444444444444444,2004,Hammerfest,0.4444444444444444,n
2006,0.7142857142857143,2004,Hammerfest,0.7142857142857143,n
2007,0.9285714285714286,2004,Hammerfest,0.9285714285714286,n
2008,1,2004,Hammerfest,1,n
2009,1,2004,Hammerfest,1,n
2010,1,2004,Hammerfest,1,n
2011,1,2004,Hammerfest,1,n
2012,0.8846153846153846,2004,Hammerfest,0.8846153846153846,n
2013,0.9433279690850596,2004,Hammerfest,0.9433279690850596,n
2014,1,2004,Hammerfest,1,n
2015,0.9705899810066476,2004,Hammerfest,0.9705899810066476,n
2016,0.9767628205128205,2004,Hammerfest,0.9767628205128205,n
2017,0.99375,2004,Hammerfest,0.99375,n
2018,0.9925925925925926,2004,Hammerfest,0.9925925925925926,n
2019,NA,2004,Hammerfest,0.8174603174603174,y
2012,0.8767477626271676,1903,Harstad,0.8767477626271676,n
2013,0.9837962962962963,1903,Harstad,0.9837962962962963,n
2014,0.9758420441347271,1903,Harstad,0.9758420441347271,n
2015,0.990655209452202,1903,Harstad,0.990655209452202,n
2016,0.9813953488372092,1903,Harstad,0.9813953488372092,n
2017,0.9711477761836442,1903,Harstad,0.9711477761836442,n
2018,0.979281537176274,1903,Harstad,0.979281537176274,n
2005,NA,1903,Harstad,0.9616873322695204,y
2006,NA,1903,Harstad,0.9616873322695204,y
2007,NA,1903,Harstad,0.9616873322695204,y
2008,NA,1903,Harstad,0.9616873322695204,y
2009,NA,1903,Harstad,0.9616873322695204,y
2010,NA,1903,Harstad,0.9616873322695204,y
2011,NA,1903,Harstad,0.9616873322695204,y
2019,NA,1903,Harstad,0.9616873322695204,y
2005,1,2015,Hasvik,1,n
2007,1,2015,Hasvik,1,n
2008,1,2015,Hasvik,1,n
2010,1,2015,Hasvik,1,n
2011,1,2015,Hasvik,1,n
2015,1,2015,Hasvik,1,n
2016,1,2015,Hasvik,1,n
2017,1,2015,Hasvik,1,n
2018,0.975297619047619,2015,Hasvik,0.975297619047619,n
2006,NA,2015,Hasvik,1,y
2009,NA,2015,Hasvik,1,y
2012,NA,2015,Hasvik,1,y
2013,NA,2015,Hasvik,1,y
2014,NA,2015,Hasvik,1,y
2019,NA,2015,Hasvik,1,y
2005,0.7514285714285714,1818,Heroy,0.7514285714285714,n
2006,0.8325396825396825,1818,Heroy,0.8325396825396825,n
2007,0.8928571428571428,1818,Heroy,0.8928571428571428,n
2008,1,1818,Heroy,1,n
2009,0.7551001082251082,1818,Heroy,0.7551001082251082,n
2010,0.8088744588744589,1818,Heroy,0.8088744588744589,n
2011,0.8148148148148148,1818,Heroy,0.8148148148148148,n
2012,0.8590843233845262,1818,Heroy,0.8590843233845262,n
2013,0.9707702435813035,1818,Heroy,0.9707702435813035,n
2014,0.8164712534746321,1818,Heroy,0.8164712534746321,n
2015,0.951012987012987,1818,Heroy,0.951012987012987,n
2016,0.9118361221355776,1818,Heroy,0.9118361221355776,n
2017,0.9595812684047978,1818,Heroy,0.9595812684047978,n
2018,0.9828431372549019,1818,Heroy,0.9828431372549019,n
2019,NA,1818,Heroy,0.846385101010101,y
2005,1,1917,Ibestad,1,n
2006,1,1917,Ibestad,1,n
2007,1,1917,Ibestad,1,n
2008,0.9285714285714286,1917,Ibestad,0.9285714285714286,n
2009,1,1917,Ibestad,1,n
2010,0.9666666666666667,1917,Ibestad,0.9666666666666667,n
2011,1,1917,Ibestad,1,n
2012,0.8793103448275862,1917,Ibestad,0.8793103448275862,n
2013,1,1917,Ibestad,1,n
2014,0.9941860465116279,1917,Ibestad,0.9941860465116279,n
2015,0.9922480620155039,1917,Ibestad,0.9922480620155039,n
2016,0.9465384615384616,1917,Ibestad,0.9465384615384616,n
2017,0.9825581395348837,1917,Ibestad,0.9825581395348837,n
2018,0.947386889177507,1917,Ibestad,0.947386889177507,n
2019,NA,1917,Ibestad,0.9857142857142858,y
2005,1,1940,Kafjord,1,n
2006,1,1940,Kafjord,1,n
2007,1,1940,Kafjord,1,n
2012,1,1940,Kafjord,1,n
2013,1,1940,Kafjord,1,n
2014,1,1940,Kafjord,1,n
2015,1,1940,Kafjord,1,n
2016,1,1940,Kafjord,1,n
2017,1,1940,Kafjord,1,n
2008,NA,1940,Kafjord,1,y
2009,NA,1940,Kafjord,1,y
2010,NA,1940,Kafjord,1,y
2011,NA,1940,Kafjord,1,y
2018,NA,1940,Kafjord,1,y
2019,NA,1940,Kafjord,1,y
2006,1,1936,Karlsoy,1,n
2009,1,1936,Karlsoy,1,n
2010,1,1936,Karlsoy,1,n
2011,1,1936,Karlsoy,1,n
2012,1,1936,Karlsoy,1,n
2013,1,1936,Karlsoy,1,n
2014,0.9955555555555555,1936,Karlsoy,0.9955555555555555,n
2015,1,1936,Karlsoy,1,n
2016,0.9924242424242424,1936,Karlsoy,0.9924242424242424,n
2017,0.9945054945054945,1936,Karlsoy,0.9945054945054945,n
2018,1,1936,Karlsoy,1,n
2005,NA,1936,Karlsoy,1,y
2007,NA,1936,Karlsoy,1,y
2008,NA,1936,Karlsoy,1,y
2019,NA,1936,Karlsoy,1,y
2005,1,1911,Kvaefjord,1,n
2006,0.9166666666666666,1911,Kvaefjord,0.9166666666666666,n
2007,1,1911,Kvaefjord,1,n
2010,0.9090909090909091,1911,Kvaefjord,0.9090909090909091,n
2011,0.8888888888888888,1911,Kvaefjord,0.8888888888888888,n
2012,0.88,1911,Kvaefjord,0.88,n
2013,0.9629629629629629,1911,Kvaefjord,0.9629629629629629,n
2014,1,1911,Kvaefjord,1,n
2015,0.9206773618538324,1911,Kvaefjord,0.9206773618538324,n
2016,1,1911,Kvaefjord,1,n
2017,0.7692307692307693,1911,Kvaefjord,0.7692307692307693,n
2018,1,1911,Kvaefjord,1,n
2008,NA,1911,Kvaefjord,0.942929292929293,y
2009,NA,1911,Kvaefjord,0.942929292929293,y
2019,NA,1911,Kvaefjord,0.942929292929293,y
2005,0.9886363636363636,1943,Kvaenangen,0.9886363636363636,n
2006,0.9791666666666666,1943,Kvaenangen,0.9791666666666666,n
2007,0.9555555555555556,1943,Kvaenangen,0.9555555555555556,n
2008,1,1943,Kvaenangen,1,n
2009,1,1943,Kvaenangen,1,n
2010,1,1943,Kvaenangen,1,n
2011,1,1943,Kvaenangen,1,n
2012,0.9365079365079365,1943,Kvaenangen,0.9365079365079365,n
2013,0.9914529914529915,1943,Kvaenangen,0.9914529914529915,n
2014,1,1943,Kvaenangen,1,n
2015,1,1943,Kvaenangen,1,n
2016,1,1943,Kvaenangen,1,n
2017,1,1943,Kvaenangen,1,n
2018,0.9943181818181819,1943,Kvaenangen,0.9943181818181819,n
2019,NA,1943,Kvaenangen,0.9846717171717172,y
2005,0.8571428571428571,2017,Kvalsund,0.8571428571428571,n
2006,1,2017,Kvalsund,1,n
