"","Year","Kommune.x","Komnum","examinations","Kommune.y","nlocs"
"226",2014,"Meloy",1837,2,"MELØY",22
"227",2014,"Nesna",1828,1,"NESNA",7
"228",2014,"Nordkapp",2019,2,"NORDKAPP",6
"229",2014,"Nordreisa",1942,3,"NORDREISA",20
"230",2014,"Oksnes",1868,6,"ØKSNES",28
"231",2014,"Rodoy",1836,7,"RØDØY",16
"232",2014,"Saltdal",1840,1,"SALTDAL",6
"233",2014,"Skjervoy",1941,5,"SKJERVØY",23
"234",2014,"Somna",1812,3,"SØMNA",9
"235",2014,"Sor-Varanger",2030,2,"SØR-VARANGER",11
"236",2014,"Sorfold",1845,6,"SØRFOLD",10
"237",2014,"Sortland",1870,6,"SORTLAND",9
"238",2014,"Steigen",1848,8,"STEIGEN",18
"239",2014,"Torsken",1928,4,"TORSKEN",21
"240",2014,"Tranoy",1927,4,"TRANØY",18
"241",2014,"Tromso",1902,2,"TROMSØ",43
"242",2014,"Tysfjord",1850,4,"TYSFJORD",10
"243",2014,"Vagan",1865,4,"VÅGAN",38
"244",2014,"Vega",1815,1,"VEGA",11
"245",2015,"Alstahaug",1820,2,"ALSTAHAUG",23
"246",2015,"Alta",2012,12,"ALTA",30
"247",2015,"Berg",1929,2,"BERG",9
"248",2015,"Bindal",1811,2,"BINDAL",22
"249",2015,"Bo",1867,5,"BØ I NORDLAND",9
"250",2015,"Bodo",1804,2,"BODØ",13
"251",2015,"Bronnoy",1813,6,"BRØNNØY",24
"252",2015,"Donna",1827,5,"DØNNA",15
"253",2015,"Dyroy",1926,3,"DYRØY",21
"254",2015,"Fauske",1841,3,"FAUSKE",6
"255",2015,"Gildeskal",1838,5,"GILDESKÅL",24
"256",2015,"Gratangen",1919,1,"GRATANGEN",18
"257",2015,"Hadsel",1866,5,"HADSEL",34
"258",2015,"Hamaroy",1849,2,"HAMARØY",19
"259",2015,"Hammerfest",2004,4,"HAMMERFEST",9
"260",2015,"Harstad",1903,6,"HARSTAD",23
"261",2015,"Hasvik",2015,3,"HASVIK",12
"262",2015,"Heroy",1818,2,"HERØY I NORDLAND",28
"263",2015,"Ibestad",1917,3,"IBESTAD",14
"264",2015,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",5
"265",2015,"Karlsoy",1936,4,"KARLSØY",24
"266",2015,"Kvaefjord",1911,3,"KVÆFJORD",16
"267",2015,"Kvaenangen",1943,2,"KVÆNANGEN",21
"268",2015,"Kvalsund",2017,3,"KVALSUND",11
"269",2015,"Lebesby",2022,4,"LEBESBY",16
"270",2015,"Lenvik",1931,7,"LENVIK",8
"271",2015,"Lodingen",1851,1,"LØDINGEN",11
"272",2015,"Loppa",2014,4,"LOPPA",16
"273",2015,"Luroy",1834,6,"LURØY",31
"274",2015,"Lyngen",1938,1,"LYNGEN",6
"275",2015,"Masoy",2018,1,"MÅSØY",12
"276",2015,"Meloy",1837,4,"MELØY",23
"277",2015,"Nesna",1828,2,"NESNA",6
"278",2015,"Nesseby",2027,1,"UNJARGGA-NESSEBY",11
"279",2015,"Nordkapp",2019,2,"NORDKAPP",6
"280",2015,"Nordreisa",1942,2,"NORDREISA",21
"281",2015,"Oksnes",1868,5,"ØKSNES",27
"282",2015,"Rodoy",1836,5,"RØDØY",17
"283",2015,"Salangen",1923,1,"SALANGEN",8
"284",2015,"Saltdal",1840,1,"SALTDAL",6
"285",2015,"Skanland",1913,2,"SKÅNLAND",17
"286",2015,"Skjervoy",1941,3,"SKJERVØY",22
"287",2015,"Somna",1812,1,"SØMNA",9
"288",2015,"Sor-Varanger",2030,1,"SØR-VARANGER",11
"289",2015,"Sorfold",1845,4,"SØRFOLD",11
"290",2015,"Sortland",1870,4,"SORTLAND",11
"291",2015,"Steigen",1848,5,"STEIGEN",24
"292",2015,"Torsken",1928,2,"TORSKEN",19
"293",2015,"Tranoy",1927,2,"TRANØY",19
"294",2015,"Tromso",1902,5,"TROMSØ",43
"295",2015,"Tysfjord",1850,7,"TYSFJORD",11
"296",2015,"Vagan",1865,2,"VÅGAN",38
"297",2015,"Vega",1815,1,"VEGA",11
"298",2017,"Alta",2012,11,"ALTA",36
"299",2017,"Ballangen",1854,1,"BALLANGEN",6
"300",2017,"Batsfjord",2028,1,"BÅTSFJORD",10
"301",2017,"Berg",1929,1,"BERG",12
"302",2017,"Bindal",1811,5,"BINDAL",18
"303",2017,"Bo",1867,5,"BØ I NORDLAND",9
"304",2017,"Bodo",1804,2,"BODØ",16
"305",2017,"Bronnoy",1813,3,"BRØNNØY",32
"306",2017,"Donna",1827,7,"DØNNA",16
"307",2017,"Dyroy",1926,3,"DYRØY",15
