"","Week","Year","Municip_number","Municip_name","locs_above_thr_count","locs_below_thr_count","locs_active","locs_above_thr_prop","locs_below_thr_prop"
"203",1,2015,2012,"Alta",0,11,11,0,1
"204",1,2015,2014,"Loppa",0,3,3,0,1
"205",1,2015,2015,"Hasvik",0,2,2,0,1
"206",1,2015,2017,"Kvalsund",0,3,3,0,1
"207",1,2015,2018,"Masoy",1,3,4,0.25,0.75
"208",1,2015,2019,"Nordkapp",0,2,2,0,1
"209",1,2015,2022,"Lebesby",0,3,3,0,1
"210",1,2015,2027,"Nesseby",0,1,1,0,1
"211",1,2015,2030,"Sor-Varanger",0,1,1,0,1
"212",1,2016,1804,"Bodo",0,1,1,0,1
"213",1,2016,1805,"Narvik",0,1,1,0,1
"214",1,2016,1811,"Bindal",0,3,3,0,1
"215",1,2016,1813,"Bronnoy",0,2,2,0,1
"216",1,2016,1815,"Vega",0,2,2,0,1
"217",1,2016,1816,"Vevelstad",0,2,2,0,1
"218",1,2016,1818,"Heroy",0,2,2,0,1
"219",1,2016,1820,"Alstahaug",0,2,2,0,1
"220",1,2016,1822,"Leirfjord",0,1,1,0,1
"221",1,2016,1827,"Donna",0,5,5,0,1
"222",1,2016,1834,"Luroy",1,3,4,0.25,0.75
"223",1,2016,1835,"Traena",0,1,1,0,1
"224",1,2016,1836,"Rodoy",2,6,8,0.25,0.75
"225",1,2016,1837,"Meloy",0,3,3,0,1
"226",1,2016,1838,"Gildeskal",0,4,4,0,1
"227",1,2016,1845,"Sorfold",0,1,1,0,1
"228",1,2016,1848,"Steigen",0,6,6,0,1
"229",1,2016,1849,"Hamaroy",0,1,1,0,1
"230",1,2016,1850,"Tysfjord",1,4,5,0.2,0.8
"231",1,2016,1851,"Lodingen",0,2,2,0,1
"232",1,2016,1854,"Ballangen",0,1,1,0,1
"233",1,2016,1865,"Vagan",0,2,2,0,1
"234",1,2016,1866,"Hadsel",1,0,1,1,0
"235",1,2016,1867,"Bo",0,2,2,0,1
"236",1,2016,1868,"Oksnes",0,2,2,0,1
"237",1,2016,1870,"Sortland",0,2,2,0,1
"238",1,2016,1902,"Tromso",0,3,3,0,1
"239",1,2016,1903,"Harstad",0,4,4,0,1
"240",1,2016,1911,"Kvaefjord",0,1,1,0,1
"241",1,2016,1913,"Skanland",0,2,2,0,1
"242",1,2016,1917,"Ibestad",0,3,3,0,1
"243",1,2016,1919,"Gratangen",0,1,1,0,1
"244",1,2016,1920,"Lavangen",0,1,1,0,1
"245",1,2016,1923,"Salangen",0,1,1,0,1
"246",1,2016,1926,"Dyroy",0,4,4,0,1
"247",1,2016,1927,"Tranoy",0,4,4,0,1
"248",1,2016,1928,"Torsken",0,3,3,0,1
"249",1,2016,1929,"Berg",0,3,3,0,1
"250",1,2016,1931,"Lenvik",0,4,4,0,1
"251",1,2016,1936,"Karlsoy",0,4,4,0,1
"252",1,2016,1938,"Lyngen",0,1,1,0,1
"253",1,2016,1940,"Kafjord",0,1,1,0,1
"254",1,2016,1941,"Skjervoy",0,3,3,0,1
"255",1,2016,1942,"Nordreisa",0,2,2,0,1
"256",1,2016,1943,"Kvaenangen",0,3,3,0,1
"257",1,2016,2004,"Hammerfest",0,6,6,0,1
"258",1,2016,2012,"Alta",0,14,14,0,1
"259",1,2016,2014,"Loppa",0,4,4,0,1
"260",1,2016,2015,"Hasvik",0,2,2,0,1
"261",1,2016,2017,"Kvalsund",0,3,3,0,1
"262",1,2016,2018,"Masoy",0,2,2,0,1
"263",1,2016,2019,"Nordkapp",0,2,2,0,1
"264",1,2016,2022,"Lebesby",0,4,4,0,1
"265",1,2016,2027,"Nesseby",0,2,2,0,1
"266",1,2017,1804,"Bodo",0,3,3,0,1
"267",1,2017,1811,"Bindal",0,5,5,0,1
"268",1,2017,1812,"Somna",0,1,1,0,1
"269",1,2017,1813,"Bronnoy",0,2,2,0,1
"270",1,2017,1815,"Vega",0,1,1,0,1
"271",1,2017,1818,"Heroy",0,3,3,0,1
"272",1,2017,1822,"Leirfjord",0,1,1,0,1
"273",1,2017,1827,"Donna",0,6,6,0,1
"274",1,2017,1828,"Nesna",0,2,2,0,1
"275",1,2017,1833,"Rana",0,1,1,0,1
"276",1,2017,1834,"Luroy",0,7,7,0,1
"277",1,2017,1835,"Traena",0,1,1,0,1
"278",1,2017,1836,"Rodoy",0,2,2,0,1
"279",1,2017,1837,"Meloy",0,6,6,0,1
"280",1,2017,1838,"Gildeskal",0,6,6,0,1
"281",1,2017,1845,"Sorfold",0,5,5,0,1
"282",1,2017,1848,"Steigen",0,6,6,0,1
"283",1,2017,1849,"Hamaroy",0,2,2,0,1
"284",1,2017,1850,"Tysfjord",0,2,2,0,1
"285",1,2017,1851,"Lodingen",0,3,3,0,1
"286",1,2017,1854,"Ballangen",0,2,2,0,1
"287",1,2017,1860,"Vestvagoy",0,3,3,0,1
"288",1,2017,1865,"Vagan",0,2,2,0,1
"289",1,2017,1866,"Hadsel",0,3,3,0,1
"290",1,2017,1867,"Bo",0,4,4,0,1
"291",1,2017,1868,"Oksnes",1,3,4,0.25,0.75
"292",1,2017,1870,"Sortland",0,3,3,0,1
