What,Farmname,Municipality,Location,Latlon,Temperature,Sitting_lice,Moving_lice,Adult_females,Year,Month,Date
Fishfarm:,,1820,10960,"(-999.0,-999.0)",8.42,,0.1,0,2009,6,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",9.86,,0.2,0,2009,7,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",10.06,,0.25,0,2009,8,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",13.31,,0.05,0,2009,9,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",12.86,,0.1,0,2009,10,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",10.88,,0.28,0.09,2009,11,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",9.13,,0.48,0.48,2009,12,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",6.81,,0.1,0.1,2010,1,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",5.13,,0.04,0,2010,2,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",5.17,,0.17,0.21,2010,3,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",4.76,,0.62,0.28,2010,4,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",4.89,,0.03,0,2010,5,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",6.02,,0,0,2010,6,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",8.07,,0.2,0,2010,7,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",9.74,,0.25,0.25,2010,8,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",11.31,,0.68,0.2,2010,9,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",11.66,,1.5,0.45,2010,10,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",10.04,,1.33,1.13,2010,11,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",7.93,,0.35,0.25,2010,12,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",6,,0.57,0,2011,1,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",4.69,,0.27,0.13,2011,2,1
Fishfarm:,,1820,10960,"(-999.0,-999.0)",3.28,,0,0,2011,3,1
Fishfarm:,,1834,10963,"(-999.0,-999.0)",5.7,,0.6,0.4,2005,2,1
Fishfarm:,,1834,10963,"(-999.0,-999.0)",4.7,,2,2,2005,3,1
Fishfarm:,,1834,10963,"(-999.0,-999.0)",5,,0,0,2006,5,1
Fishfarm:,,1834,10963,"(-999.0,-999.0)",6.42,,0,0,2006,6,1
Fishfarm:,,1834,10963,"(-999.0,-999.0)",8,,0,0,2006,7,1
Fishfarm:,,1834,10963,"(-999.0,-999.0)",12,,0,0,2006,8,1
Fishfarm:,,1834,10963,"(-999.0,-999.0)",13,,0,0,2006,9,1
