"year","county","municip_number","municip","production_final","feed_kg","efcr_municip"
2010,"Finnmark",2004,"Hammerfest",8343460.7116,12852972,1.54048451167636
2010,"Finnmark",2012,"Alta",18194456.47368,29497416,1.62123095255254
2010,"Finnmark",2014,"Loppa",5992574.76152,9406850,1.56975096254185
2010,"Finnmark",2017,"Kvalsund",2342031.61528,3625320,1.54793811336598
2010,"Finnmark",2019,"Nordkapp",2306110.686,2900965,1.25794699170827
2010,"Finnmark",2022,"Lebesby",1403040.30304,2305411,1.6431537960847
2010,"Finnmark",2027,"Nesseby",3507336.19368,5279910,1.50539033284407
2010,"Finnmark",2030,"Sor-Varanger",4437572.33936,7449782,1.67879674522093
2010,"Troms",1902,"Tromso",9631354.87984,12723576,1.32105774927186
2010,"Troms",1903,"Harstad",9552209.968,15297121,1.60142218934105
2010,"Troms",1911,"Kvaefjord",6655710.8128,8833742,1.32724246116753
2010,"Troms",1913,"Skanland",4592019.2276,6919361,1.50682317670006
2010,"Troms",1917,"Ibestad",5818514.75768,7379674,1.26830889107214
2010,"Troms",1919,"Gratangen",2405405.1032,3899171,1.62100387781367
2010,"Troms",1920,"Lavangen",1047315.89424,1502048,1.43418810719948
2010,"Troms",1923,"Salangen",1107571.67312,2833205,2.55803309958166
2010,"Troms",1926,"Dyroy",6247515.2656,4671324,0.747709097362466
2010,"Troms",1927,"Tranoy",7896993.6236,11170930,1.41458009623003
2010,"Troms",1928,"Torsken",9994716.11368,11493670,1.14997463352344
2010,"Troms",1929,"Berg",3306521.44128,4460042,1.34886226483185
2010,"Troms",1931,"Lenvik",2910738.94072,4317062,1.48314984198897
2010,"Troms",1936,"Karlsoy",10526450.5196,12485357,1.18609373375694
2010,"Troms",1938,"Lyngen",852146.668,1380697,1.62025746488045
2010,"Troms",1941,"Skjervoy",9427791.8568,11668810,1.23770339621824
2010,"Troms",1942,"Nordreisa",5196990.17112,6516617,1.25392136321774
2010,"Troms",1943,"Kvaenangen",9879592.9308,8905568,0.901410418665789
2010,"Nordland",1804,"Bodo",1708426.33104,2374241,1.38972395640536
2010,"Nordland",1811,"Bindal",7348848.13144,9546322,1.2990228984538
2010,"Nordland",1812,"Somna",6275747.17264,5416887,0.863146148336835
2010,"Nordland",1813,"Bronnoy",3650238.75712,7303390,2.00079788911186
2010,"Nordland",1815,"Vega",2403524.95592,3328000,1.38463301236085
2010,"Nordland",1816,"Vevelstad",3076939.07416,4009000,1.30291822599525
2010,"Nordland",1818,"Heroy",5919321.78088,6582445,1.11202689153713
2010,"Nordland",1820,"Alstahaug",7273308.52632,8043951,1.10595487196663
2010,"Nordland",1824,"Vefsn",2387768.23912,3496500,1.46433809727221
2010,"Nordland",1827,"Donna",6310167.98432,7880907,1.24892190185477
2010,"Nordland",1828,"Nesna",1173416.74024,1906353,1.62461718384049
2010,"Nordland",1833,"Rana",760337.06584,1185366,1.55900067648345
2010,"Nordland",1834,"Luroy",6649355.87624,10818297,1.62696916834558
2010,"Nordland",1835,"Traena",1557380.13096,1896500,1.21775022186199
2010,"Nordland",1836,"Rodoy",12649327.97448,16943547,1.33948198941348
2010,"Nordland",1837,"Meloy",8756290.71104,12668813,1.44682416539997
2010,"Nordland",1838,"Gildeskal",5256661.37176,9272947,1.76403735074441
2010,"Nordland",1840,"Saltdal",2629836.97152,3426250,1.30283741429785
2010,"Nordland",1841,"Fauske",807029.16664,1478940,1.83257317224041
2010,"Nordland",1845,"Sorfold",12596831.5584,14572542,1.15684185602073
2010,"Nordland",1848,"Steigen",13521930.8272,18394694,1.36036001330507
2010,"Nordland",1849,"Hamaroy",4459896.34576,6221498,1.39498712922213
