"","Municip_number","Municip_name","Year","average_locs_above_thr","average_prop_locs_above_thr"
"208",1852,"Tjeldsund",2019,0,0
"209",1853,"Evenes",2015,0.0454545454545455,0.0454545454545455
"210",1854,"Ballangen",2012,0,0
"211",1854,"Ballangen",2013,0.04,0.0133333333333333
"212",1854,"Ballangen",2014,0,0
"213",1854,"Ballangen",2015,0,0
"214",1854,"Ballangen",2016,0.0192307692307692,0.00961538461538462
"215",1854,"Ballangen",2017,0.0208333333333333,0.0104166666666667
"216",1854,"Ballangen",2018,0,0
"217",1854,"Ballangen",2019,0,0
"218",1859,"Flakstad",2012,0.523809523809524,0.380952380952381
"219",1859,"Flakstad",2013,0,0
"220",1859,"Flakstad",2014,0.407407407407407,0.407407407407407
"221",1859,"Flakstad",2016,0,0
"222",1859,"Flakstad",2017,0.025,0.025
"223",1859,"Flakstad",2018,0,0
"224",1859,"Flakstad",2019,0,0
"225",1860,"Vestvagoy",2012,1,0.2578125
"226",1860,"Vestvagoy",2013,0.714285714285714,0.204761904761905
"227",1860,"Vestvagoy",2014,0.0681818181818182,0.0204545454545455
"228",1860,"Vestvagoy",2015,0,0
"229",1860,"Vestvagoy",2016,0,0
"230",1860,"Vestvagoy",2017,0.266666666666667,0.166666666666667
"231",1860,"Vestvagoy",2018,0.0217391304347826,0.0072463768115942
"232",1860,"Vestvagoy",2019,0,0
"233",1865,"Vagan",2012,0.488888888888889,0.185925925925926
"234",1865,"Vagan",2013,0.163265306122449,0.054421768707483
"235",1865,"Vagan",2014,0.404255319148936,0.184397163120567
"236",1865,"Vagan",2015,0,0
"237",1865,"Vagan",2016,0.133333333333333,0.0574074074074074
"238",1865,"Vagan",2017,0.122448979591837,0.054421768707483
"239",1865,"Vagan",2018,0.0833333333333333,0.0555555555555556
"240",1865,"Vagan",2019,0,0
"241",1866,"Hadsel",2012,0.270833333333333,0.0997354497354497
"242",1866,"Hadsel",2013,0.307692307692308,0.0428113553113553
"243",1866,"Hadsel",2014,0.25,0.0486263736263736
"244",1866,"Hadsel",2015,0.113207547169811,0.0267295597484277
"245",1866,"Hadsel",2016,0.137254901960784,0.042483660130719
"246",1866,"Hadsel",2017,0.115384615384615,0.0205128205128205
"247",1866,"Hadsel",2018,0.26,0.113333333333333
"248",1866,"Hadsel",2019,0,0
"249",1867,"Bo",2012,0.681818181818182,0.303787878787879
"250",1867,"Bo",2013,0.25,0.078125
"251",1867,"Bo",2014,0.1,0.03
"252",1867,"Bo",2015,0.282608695652174,0.134057971014493
"253",1867,"Bo",2016,0.0625,0.015625
"254",1867,"Bo",2017,0.769230769230769,0.190064102564103
"255",1867,"Bo",2018,0.137254901960784,0.0503267973856209
"256",1867,"Bo",2019,0.0769230769230769,0.0192307692307692
"257",1868,"Oksnes",2012,0.375,0.144444444444444
"258",1868,"Oksnes",2013,0.173076923076923,0.032051282051282
"259",1868,"Oksnes",2014,0.372549019607843,0.0860410830999066
"260",1868,"Oksnes",2015,0,0
"261",1868,"Oksnes",2016,0.0576923076923077,0.0141025641025641
"262",1868,"Oksnes",2017,0.288461538461538,0.0491758241758242
"263",1868,"Oksnes",2018,0.192307692307692,0.0329212454212454
"264",1868,"Oksnes",2019,0.0833333333333333,0.0208333333333333
"265",1870,"Sortland",2012,0.272727272727273,0.0732323232323232
"266",1870,"Sortland",2013,0.0638297872340425,0.0159574468085106
"267",1870,"Sortland",2014,0.269230769230769,0.0522435897435897
"268",1870,"Sortland",2015,0.25,0.0865384615384615
"269",1870,"Sortland",2016,0.0833333333333333,0.0225694444444444
"270",1870,"Sortland",2017,0.176470588235294,0.0480392156862745
"271",1870,"Sortland",2018,0.02,0.004
"272",1870,"Sortland",2019,0,0
"273",1874,"Moskenes",2014,0,0
"274",1874,"Moskenes",2015,0,0
"275",1902,"Tromso",2012,0.0888888888888889,0.0188888888888889
"276",1902,"Tromso",2013,0.0384615384615385,0.00641025641025641
"277",1902,"Tromso",2014,0,0
"278",1902,"Tromso",2015,0,0
"279",1902,"Tromso",2016,0,0
"280",1902,"Tromso",2017,0.0384615384615385,0.00480769230769231
"281",1902,"Tromso",2018,0,0
"282",1902,"Tromso",2019,0.0769230769230769,0.00854700854700855
"283",1903,"Harstad",2012,0.384615384615385,0.112820512820513
"284",1903,"Harstad",2013,0.0392156862745098,0.011437908496732
"285",1903,"Harstad",2014,0.0980392156862745,0.0199346405228758
"286",1903,"Harstad",2015,0.0377358490566038,0.0110062893081761
"287",1903,"Harstad",2016,0.115384615384615,0.0154532967032967
"288",1903,"Harstad",2017,0.192307692307692,0.0288003663003663
"289",1903,"Harstad",2018,0.134615384615385,0.0210927960927961
"290",1903,"Harstad",2019,0,0
"291",1911,"Kvaefjord",2012,0.181818181818182,0.0795454545454545
"292",1911,"Kvaefjord",2013,0.0294117647058824,0.0294117647058824
"293",1911,"Kvaefjord",2014,0,0
"294",1911,"Kvaefjord",2015,0.169811320754717,0.10377358490566
"295",1911,"Kvaefjord",2016,0,0
"296",1911,"Kvaefjord",2017,0.19047619047619,0.103174603174603
"297",1911,"Kvaefjord",2018,0,0
"298",1911,"Kvaefjord",2019,0,0
"299",1913,"Skanland",2012,0,0
"300",1913,"Skanland",2013,0,0
"301",1913,"Skanland",2014,0,0
"302",1913,"Skanland",2015,0.0754716981132075,0.0314465408805031
"303",1913,"Skanland",2016,0.0444444444444444,0.0222222222222222
"304",1913,"Skanland",2017,0.173076923076923,0.0737179487179487
"305",1913,"Skanland",2018,0,0
"306",1913,"Skanland",2019,0,0
"307",1917,"Ibestad",2012,0.170731707317073,0.0467479674796748
"308",1917,"Ibestad",2013,0,0
"309",1917,"Ibestad",2014,0.0192307692307692,0.00384615384615385
"310",1917,"Ibestad",2015,0.0192307692307692,0.00480769230769231
"311",1917,"Ibestad",2016,0.173076923076923,0.0480769230769231
"312",1917,"Ibestad",2017,0.153846153846154,0.0355769230769231
"313",1917,"Ibestad",2018,0.269230769230769,0.0412087912087912
"314",1917,"Ibestad",2019,0,0
"315",1919,"Gratangen",2013,0,0
"316",1919,"Gratangen",2014,0,0
"317",1919,"Gratangen",2015,0,0
"318",1919,"Gratangen",2016,0,0
"319",1919,"Gratangen",2017,0.219512195121951,0.219512195121951
