"","year","county","municip_number","municip","seaarea","lice_score","momb_score","prr_score","escapees_score","sustainability","production_searea","production_max","aquaculture_score"
"606",2006,"Troms",1927,"Tranoy",414.56,0.980808080808081,1,0.999579124579124,NA,0.993421917982144,10317.5156189695,121604.867684256,8.42864792355214
"607",2007,"Troms",1927,"Tranoy",414.56,0.994505494505495,1,0.999579124579124,NA,0.998025079452075,24005.8533843111,149998.637316471,15.9724409233424
"608",2008,"Troms",1927,"Tranoy",414.56,0.994047619047619,1,0.883579798926993,NA,0.957673909556233,6407.01659590892,178392.406948684,3.43951445969378
"609",2009,"Troms",1927,"Tranoy",414.56,0.987179487179487,1,0.959733096617982,NA,0.982159898824525,29240.6822993053,206786.176580898,13.8882714712849
"610",2010,"Troms",1927,"Tranoy",414.56,0.937524654832347,1,0.963437711927482,NA,0.966648941739159,21774.25184533,100384.652468928,20.9674058591427
"611",2011,"Troms",1927,"Tranoy",414.56,0.95679012345679,1,0.999579124579124,NA,0.985245864058623,31596.2146420301,138621.566114261,22.4568518943938
"612",2012,"Troms",1927,"Tranoy",414.56,0.951194743130227,1,0.959776244232861,NA,0.970092497678585,30717.6172279043,143049.209439033,20.8312441125742
"613",2013,"Troms",1927,"Tranoy",414.56,0.991001011122346,1,0.912132562740356,NA,0.96689063224815,40130.1884166345,213892.924204099,18.140620310269
"614",2014,"Troms",1927,"Tranoy",414.56,0.98780487804878,1,0.978066055387093,NA,0.988582953981936,26199.6385348321,128643.610679612,20.1335425204512
"615",2015,"Troms",1927,"Tranoy",414.56,0.994565217391304,1,0.999579124579124,NA,0.998045057134476,33019.0984923775,153175.221263016,21.5142813371672
"616",2016,"Troms",1927,"Tranoy",414.56,0.962424242424242,1,0.971935079925395,NA,0.977990426992285,44081.5500434195,206784.422546882,20.8484437166303
"617",2017,"Troms",1927,"Tranoy",414.56,1,1,0.999579124579124,NA,0.999859688506647,12406.2671724238,242862.37313563,5.10763617698094
"618",2018,"Troms",1927,"Tranoy",414.56,0.992156862745098,1,0.999579124579124,0.688803746275011,0.909124276005993,45600.2658264184,143135.447262345,28.962992360055
"619",2005,"Troms",1927,"Tranoy",414.56,0.866883116883117,1,0.916512054664895,NA,0.926188907703566,12062.056496044,59747.5723235912,18.6982374283324
"620",2006,"Troms",1902,"Tromso",2767.33,0.93015318015318,1,0.981719376317905,NA,0.970168745184831,1634.98975257739,121604.867684256,1.30440169612834
"621",2007,"Troms",1902,"Tromso",2767.33,0.972222222222222,1,0.999579124579124,NA,0.990514658699594,2544.94969519356,149998.637316471,1.68055525292795
"622",2008,"Troms",1902,"Tromso",2767.33,0.955387205387205,1,0.826139890544118,NA,0.924153979325992,1657.3832224563,178392.406948684,0.858600052827206
"623",2009,"Troms",1902,"Tromso",2767.33,0.957291666666667,1,0.983488459315026,NA,0.980101789498271,2864.93789103576,206786.176580898,1.3578909384724
