Year,Municip_number,Municip_name_new,Species,Spp_year,SSB,Bmsy,SSB.Bmsy,Blim,Total_catch_new,Blim.Bmsy,stock_score
1994,1841,Fauske,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,49.113,0.4782608695652174,1
1994,1841,Fauske,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,0.33180000000000004,0.625,1
1994,1841,Fauske,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,24.287399999999998,0.6181818181818182,0.08166911764705878
1994,1842,Bodo,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,2300.3034,0.4782608695652174,1
1994,1842,Bodo,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,320.8962,0.625,1
1994,1842,Bodo,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,332.2702,0.6181818181818182,0.08166911764705878
1994,1845,Sorfold,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,489.825,0.4782608695652174,1
1994,1845,Sorfold,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,69.279,0.625,1
1994,1845,Sorfold,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,114.9974,0.6181818181818182,0.08166911764705878
1994,1848,Steigen,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,6376.407,0.4782608695652174,1
1994,1848,Steigen,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,10675.16,0.785175879396985,1
1994,1848,Steigen,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,422.457,0.625,1
1994,1848,Steigen,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,718.8764,0.6181818181818182,0.08166911764705878
1994,1849,Hamaroy,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,1226.54,0.785175879396985,1
1994,1850,Tysfjord,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,3295.305,0.4782608695652174,1
1994,1850,Tysfjord,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,42650.45,0.785175879396985,1
1994,1850,Tysfjord,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,16.1532,0.625,1
1994,1850,Tysfjord,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,572.1022,0.6181818181818182,0.08166911764705878
1994,1851,Lodingen,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,6590.2068,0.4782608695652174,1
1994,1851,Lodingen,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,7038.725,0.785175879396985,1
1994,1851,Lodingen,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,9.8574,0.625,1
1994,1851,Lodingen,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,519.6204,0.6181818181818182,0.08166911764705878
1994,1852,Tjeldsund,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,9389.075,0.785175879396985,1
1994,1853,Evenes,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,47.97,0.4782608695652174,1
1994,1853,Evenes,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,26226.685,0.785175879396985,1
1994,1853,Evenes,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,0.5940000000000001,0.6181818181818182,0.08166911764705878
1994,1854,Ballangen,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,1.368,0.4782608695652174,1
1994,1854,Ballangen,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,13870.58,0.785175879396985,1
1994,1854,Ballangen,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,0.48719999999999997,0.625,1
1994,1854,Ballangen,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,0.0486,0.6181818181818182,0.08166911764705878
1994,1856,Rost,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,57537.9396,0.4782608695652174,1
1994,1856,Rost,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,802.1115,0.625,1
1994,1856,Rost,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,2208.251,0.6181818181818182,0.08166911764705878
1994,1857,Vaeroy,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,40862.9868,0.4782608695652174,1
1994,1857,Vaeroy,Herring,Herring_1994,3431e3,3184e3,1.077575376884422,25e5,3751.48,0.785175879396985,1
1994,1857,Vaeroy,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,824.8599,0.625,1
1994,1857,Vaeroy,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,1373.9122,0.6181818181818182,0.08166911764705878
1994,1859,Flakstad,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,69199.2396,0.4782608695652174,1
1994,1859,Flakstad,Haddock,Haddock_1994,163487,8e4,2.0435875,5e4,1690.4397,0.625,1
1994,1859,Flakstad,Saithe,Saithe_1994,147107,22e4,0.6686681818181818,136e3,1669.6522,0.6181818181818182,0.08166911764705878
1994,1860,Vestvagoy,Cod,Cod_1994,592309,46e4,1.2876282608695653,22e4,75083.7792,0.4782608695652174,1
