Year,Municip_number,Municip_name_new,fish_score
1998,1813,Bronnoy,80.8674550324642
1998,1815,Vega,83.47335503688662
1998,1816,Vevelstad,83.67764194289465
1998,1818,Heroy,81.41910660516388
1998,1820,Alstahaug,98.05680403652674
1998,1822,Leirfjord,80.35419259410384
1998,1827,Donna,82.0703371711291
1998,1828,Nesna,72.68346848929342
1998,1832,Hemnes,75.47501420971744
1998,1833,Rana,82.31134402811952
1998,1834,Luroy,80.58119691588705
1998,1835,Traena,97.78671445659982
1998,1836,Rodoy,89.16290219035517
1998,1837,Meloy,83.75520604517041
1998,1838,Gildeskal,78.85855135145977
1998,1840,Saltdal,77.113743315508
1998,1841,Fauske,74.16012841847416
1998,1842,Bodo,82.13890146629835
1998,1845,Sorfold,84.07443169129806
1998,1848,Steigen,93.568894372423415
1998,1849,Hamaroy,100
1998,1850,Tysfjord,98.09131616677375
1998,1851,Lodingen,97.18203179734923
1998,1852,Tjeldsund,99.99342515073883
1998,1853,Evenes,100
1998,1854,Ballangen,100
1998,1856,Rost,81.0169946451603
1998,1857,Vaeroy,78.70728962144935
1998,1859,Flakstad,74.06671055482205
1998,1860,Vestvagoy,74.44381832899246
1998,1865,Vagan,84.0667914328926
1998,1866,Hadsel,79.3238615568543
1998,1867,Bo,89.16019627401735
1998,1868,Oksnes,78.05884667493436
1998,1870,Sortland,99.99733634398208
1998,1871,Andoy,77.08695660909373
1998,1874,Moskenes,75.3353916888306
1998,1901,Harstad,81.67281519049278
1998,1902,Tromso,95.85866684391937
1998,1911,Kvaefjord,76.37751942927761
1998,1913,Skanland,72.20954545454545
1998,1915,Harstad,81.67281519049278
1998,1919,Gratangen,83.08100972194454
1998,1920,Lavangen,72.20954545454545
1998,1924,Malselv,87.4440717415115
1998,1926,Dyroy,85.94695295525754
1998,1927,Tranoy,76.22877029952069
1998,1928,Torsken,85.88956354474664
1998,1929,Berg,79.62328215370566
1998,1931,Lenvik,78.11813442699423
1998,1936,Karlsoy,79.04717749194911
1998,1938,Lyngen,83.50528057646389
1998,1939,Storfjord,72.20954545454545
1998,1940,Kafjord,74.21221394597504
1998,1941,Skjervoy,79.85588638075704
1998,1942,Nordreisa,78.60639028310597
1998,1943,Kvaenangen,83.45302383887375
1998,2002,Vardo,78.28730968925386
1998,2003,Vadso,83.16443035912688
1998,2004,Hammerfest,77.43183944920554
1998,2012,Alta,72.67909637936792
1998,2014,Loppa,78.67563907648713
1998,2015,Hasvik,80.77342247393206
1998,2017,Kvalsund,73.74805091833645
1998,2018,Masoy,76.35659406594168
1998,2019,Nordkapp,77.7105678647055
1998,2020,Porsanger,74.06981733114016
1998,2022,Lebesby,78.6825968622891
1998,2023,Gamvik,84.76438635024076
1998,2024,Berlevag,81.98888112905328
1998,2025,Tana,81.80336019910762
1998,2028,Batsfjord,81.26691644723164
1998,2030,Sor-Varanger,80.9315572143611
1999,1804,Bodo,99.65866557719981
1999,1805,Narvik,48.35745722513975
1999,1811,Bindal,40.51573126884154
1999,1813,Bronnoy,51.595124246734095
1999,1815,Vega,54.3351874277175
1999,1816,Vevelstad,48.13876404494381
1999,1818,Heroy,51.505358191750275
1999,1820,Alstahaug,49.991563794201966
1999,1822,Leirfjord,35.14598434328791
1999,1827,Donna,58.198744930471705
1999,1828,Nesna,30.149721536834672
1999,1832,Hemnes,40.88177202564711
1999,1833,Rana,54.315237550833274
1999,1834,Luroy,87.51253106834473
1999,1835,Traena,98.13605688178816
1999,1836,Rodoy,69.16322357875642
1999,1837,Meloy,53.77995210853508
1999,1838,Gildeskal,53.75060682259631
1999,1840,Saltdal,43.939473684210526
1999,1841,Fauske,37.55447003974653
1999,1842,Bodo,55.263114527125815
1999,1845,Sorfold,60.397626720954044
1999,1848,Steigen,70.89249039515514
