"","landing_municip_numb","landing_municip","landing_county","year","local_landings_NOK","local_landings_tonnes","total_landings_NOK","total_landings_tonnes","proportion_local_NOK","proportion_local_tonnes","mean_NOK_per_tonnes","fishing_industry_yes_no"
"71",1927,"Tranoy","Troms","2019",0,0,0,0,0,0,0,0
"72",1902,"Tromso","Troms","2019",285932.81818,10531.87705,3713634.29619,231525.3298,7.69954161812197,4.54890920967387,16.0398618129514,1
"73",1850,"Tysfjord","Nordland","2019",778.64555,52.90768,3280.60199,225.31094,23.7348374589019,23.4820732628429,14.5603315578019,1
"74",2003,"Vadso","Finnmark","2019",12192.40703,420.70712,32172.44151,726.47285,37.8970524391514,57.910921240897,44.2858139984171,1
"75",1857,"Vaeroy","Nordland","2019",91712.9433,6183.18912,481090.36146,73984.59701,19.0635586673722,8.35740055347502,6.50257460204824,1
"76",1865,"Vagan","Nordland","2019",101365.11751,5273.79371,389341.15565,21631.30893,26.0350379195778,24.3803725750775,17.9989642286524,1
"77",2002,"Vardo","Finnmark","2019",85963.08401,4204.25594,139978.89847,7153.21684,61.4114591196211,58.7743393502384,19.5686642249195,1
"78",1824,"Vefsn","Nordland","2019",3.89,0.0945,3.89,0.0945,100,100,41.1640211640212,0
"79",1815,"Vega","Nordland","2019",5659.88875,263.96901,6267.30167,304.40719,90.3082227091839,86.7157605574297,20.5885467751271,1
"80",1860,"Vestvagoy","Nordland","2019",125020.89591,6539.3329,292277.25894,14801.36694,42.7747599534129,44.1806012006078,19.7466396262452,1
"81",1816,"Vevelstad","Nordland","2019",0,0,0,0,0,0,0,0
"82",1820,"Alstahaug","Nordland","2018",0,0,0,0,0,0,0,0
"83",2012,"Alta","Finnmark","2018",2716.53672,73.66329,12383.56726,184.74903,21.9366250690514,39.8720848493765,67.0291327645942,1
"84",1871,"Andoy","Nordland","2018",108732.26067,8149.42899,260785.02546,17210.20026,41.6942117279191,47.3523193622617,15.1529338136824,1
