"","county","municip_name","municip_numb","year","age","main_occupation","part_time_occupation"
"189","Finnmark","Alta",2012,"2006","50-59",24,6
"190","Finnmark","Alta",2012,"2006","60-66",19,10
"191","Finnmark","Alta",2012,"2006","67-69",4,3
"192","Finnmark","Alta",2012,"2006","70 OG OVER",0,17
"193","Finnmark","Alta",2012,"2007","<20",0,0
"194","Finnmark","Alta",2012,"2007","20-29",9,2
"195","Finnmark","Alta",2012,"2007","30-39",16,5
"196","Finnmark","Alta",2012,"2007","40-49",18,6
"197","Finnmark","Alta",2012,"2007","50-59",22,5
"198","Finnmark","Alta",2012,"2007","60-66",22,7
"199","Finnmark","Alta",2012,"2007","67-69",3,3
"200","Finnmark","Alta",2012,"2007","70 OG OVER",0,14
"201","Finnmark","Alta",2012,"2008","<20",2,1
"202","Finnmark","Alta",2012,"2008","20-29",9,3
"203","Finnmark","Alta",2012,"2008","30-39",12,6
"204","Finnmark","Alta",2012,"2008","40-49",18,5
"205","Finnmark","Alta",2012,"2008","50-59",19,6
"206","Finnmark","Alta",2012,"2008","60-66",24,2
"207","Finnmark","Alta",2012,"2008","67-69",2,6
"208","Finnmark","Alta",2012,"2008","70 OG OVER",1,14
"209","Finnmark","Alta",2012,"2009","<20",0,0
"210","Finnmark","Alta",2012,"2009","20-29",15,4
"211","Finnmark","Alta",2012,"2009","30-39",11,4
"212","Finnmark","Alta",2012,"2009","40-49",23,4
"213","Finnmark","Alta",2012,"2009","50-59",13,6
"214","Finnmark","Alta",2012,"2009","60-66",26,2
"215","Finnmark","Alta",2012,"2009","67-69",3,3
"216","Finnmark","Alta",2012,"2009","70 OG OVER",1,15
"217","Finnmark","Alta",2012,"2010","<20",0,0
"218","Finnmark","Alta",2012,"2010","20-29",14,3
"219","Finnmark","Alta",2012,"2010","30-39",9,5
"220","Finnmark","Alta",2012,"2010","40-49",26,3
"221","Finnmark","Alta",2012,"2010","50-59",12,4
"222","Finnmark","Alta",2012,"2010","60-66",25,5
"223","Finnmark","Alta",2012,"2010","67-69",2,1
"224","Finnmark","Alta",2012,"2010","70 OG OVER",1,18
"225","Finnmark","Alta",2012,"2011","<20",0,0
"226","Finnmark","Alta",2012,"2011","20-29",13,3
"227","Finnmark","Alta",2012,"2011","30-39",10,6
"228","Finnmark","Alta",2012,"2011","40-49",28,3
"229","Finnmark","Alta",2012,"2011","50-59",14,7
"230","Finnmark","Alta",2012,"2011","60-66",20,4
"231","Finnmark","Alta",2012,"2011","67-69",4,4
"232","Finnmark","Alta",2012,"2011","70 OG OVER",1,18
"233","Finnmark","Alta",2012,"2012","<20",1,0
"234","Finnmark","Alta",2012,"2012","20-29",10,1
"235","Finnmark","Alta",2012,"2012","30-39",8,7
"236","Finnmark","Alta",2012,"2012","40-49",24,5
"237","Finnmark","Alta",2012,"2012","50-59",13,6
"238","Finnmark","Alta",2012,"2012","60-66",19,5
"239","Finnmark","Alta",2012,"2012","67-69",5,4
"240","Finnmark","Alta",2012,"2012","70 OG OVER",2,20
"241","Finnmark","Alta",2012,"2013","<20",0,0
"242","Finnmark","Alta",2012,"2013","20-29",9,0
"243","Finnmark","Alta",2012,"2013","30-39",8,7
"244","Finnmark","Alta",2012,"2013","40-49",16,5
"245","Finnmark","Alta",2012,"2013","50-59",18,4
"246","Finnmark","Alta",2012,"2013","60-66",12,3
"247","Finnmark","Alta",2012,"2013","67-69",9,4
"248","Finnmark","Alta",2012,"2013","70 OG OVER",1,18
"249","Finnmark","Alta",2012,"2014","<20",1,0
"250","Finnmark","Alta",2012,"2014","20-29",9,2
"251","Finnmark","Alta",2012,"2014","30-39",10,5
"252","Finnmark","Alta",2012,"2014","40-49",12,6
"253","Finnmark","Alta",2012,"2014","50-59",17,3
"254","Finnmark","Alta",2012,"2014","60-66",11,6
"255","Finnmark","Alta",2012,"2014","67-69",9,2
"256","Finnmark","Alta",2012,"2014","70 OG OVER",3,16
"257","Finnmark","Alta",2012,"2015","<20",1,0
"258","Finnmark","Alta",2012,"2015","20-29",10,3
"259","Finnmark","Alta",2012,"2015","30-39",9,3
"260","Finnmark","Alta",2012,"2015","40-49",9,4
"261","Finnmark","Alta",2012,"2015","50-59",15,4
"262","Finnmark","Alta",2012,"2015","60-66",10,5
"263","Finnmark","Alta",2012,"2015","67-69",7,1
"264","Finnmark","Alta",2012,"2015","70 OG OVER",6,14
"265","Finnmark","Alta",2012,"2016","<20",0,0
