Year,smfleets_count_new,Kommunenr_new,allfleets_count_new,small_fleet_prop
2005,15,2004,115,0.13043478260869565
2005,6,2012,116,0.05172413793103448
2005,12,2014,92,0.13043478260869565
2005,6,2015,58,0.10344827586206896
2005,0,2017,29,0
2005,15,2018,130,0.11538461538461539
2005,20,2019,153,0.13071895424836602
2005,0,2020,19,0
2005,8,2022,63,0.12698412698412698
2005,10,2023,66,0.15151515151515152
2005,14,2024,34,0.4117647058823529
2005,1,2025,22,0.045454545454545456
2005,2,2027,21,0.09523809523809523
2005,13,2028,53,0.24528301886792453
2005,0,2030,26,0
2006,7,1903,48,0.14583333333333334
2006,1,1805,6,0.16666666666666666
2006,0,1811,10,0
2006,0,1812,14,0
2006,7,1813,56,0.125
2006,1,1815,47,0.02127659574468085
2006,1,1816,16,0.0625
2006,4,1818,52,0.07692307692307693
2006,4,1820,34,0.11764705882352941
2006,2,1822,6,0.3333333333333333
2006,1,1824,4,0.25
2006,0,1827,32,0
2006,1,1828,2,0.5
2006,0,1832,1,0
2006,0,1833,1,0
2006,9,1834,73,0.1232876712328767
2006,6,1835,36,0.16666666666666666
2006,6,1836,51,0.11764705882352941
2006,11,1837,81,0.13580246913580246
2006,5,1838,25,0.2
2006,1,1840,4,0.25
2006,0,1841,7,0
2006,1,1845,15,0.06666666666666667
2006,5,1848,60,0.08333333333333333
2006,3,1849,12,0.25
2006,5,1850,15,0.3333333333333333
2006,1,1851,28,0.03571428571428571
2006,1,1852,10,0.1
2006,0,1853,2,0
2006,1,1854,5,0.2
2006,21,1856,63,0.3333333333333333
2006,15,1857,65,0.23076923076923078
2006,20,1859,111,0.18018018018018017
2006,32,1860,187,0.1711229946524064
2006,24,1865,154,0.15584415584415584
2006,4,1866,51,0.0784313725490196
2006,10,1867,84,0.11904761904761904
2006,18,1868,106,0.16981132075471697
2006,5,1870,40,0.125
2006,7,1871,93,0.07526881720430108
2006,17,1874,121,0.14049586776859505
2006,22,1902,339,0.06489675516224189
2006,0,1911,14,0
2006,0,1913,6,0
2006,4,1917,22,0.18181818181818182
2006,0,1919,3,0
2006,2,1920,3,0.6666666666666666
2006,0,1923,2,0
2006,0,1924,2,0
2006,0,1925,4,0
2006,0,1926,3,0
2006,2,1927,23,0.08695652173913043
2006,7,1928,55,0.12727272727272726
2006,2,1929,48,0.041666666666666664
2006,24,1931,161,0.14906832298136646
2006,1,1933,31,0.03225806451612903
2006,24,1936,200,0.12
2006,9,1938,44,0.20454545454545456
2006,2,1939,9,0.2222222222222222
2006,0,1940,27,0
2006,10,1941,114,0.08771929824561403
2006,0,1942,36,0
2006,3,1943,45,0.06666666666666667
2006,15,1804,104,0.14423076923076922
2006,11,2002,56,0.19642857142857142
2006,5,2003,33,0.15151515151515152
2006,13,2004,111,0.11711711711711711
2006,7,2012,116,0.0603448275862069
2006,12,2014,90,0.13333333333333333
2006,8,2015,56,0.14285714285714285
2006,0,2017,25,0
2006,12,2018,117,0.10256410256410256
2006,21,2019,150,0.14
2006,0,2020,19,0
