"municip_name","municip_number","municip_number_old","water_entity_id"
"Luroy","1834",1834,"kvaroyfjorden_indre_0362020500_5_c"
"Luroy","1834",1834,"mavaerfjorden_0362020600_c"
"Traena","1835",1835,"mavaerfjorden_0362020600_c"
"Rodoy","1836",1836,"mavaerfjorden_0362020600_c"
"Luroy","1834",1834,"risvaerfjorden_0362030100_c"
"Rodoy","1836",1836,"risvaerfjorden_0362030100_c"
"Rodoy","1836",1836,"vaerangen_ytre_0362030200_c"
"Rodoy","1836",1836,"melfjorden_0362030300_c"
"Rodoy","1836",1836,"sorfjorden_indre_0362030401_c"
"Rodoy","1836",1836,"sorfjorden_midtre_0362030402_1_c"
"Rodoy","1836",1836,"sorfjorden_ytre_0362030402_2_c"
"Rodoy","1836",1836,"nordfjorden_0362030500_c"
"Rodoy","1836",1836,"kista_0362030601_c"
"Rodoy","1836",1836,"skjavika_0362030602_1_c"
"Rodoy","1836",1836,"vaerangen_indre_0362030602_2_c"
"Rodoy","1836",1836,"vaerangen_midtre_0362030602_3_c"
"Rodoy","1836",1836,"hopen_0362030700_1_c"
"Rodoy","1836",1836,"tjongsfjorden_ytre_0362030700_2_c"
"Rodoy","1836",1836,"tjongsfjorden_indre_0362030700_3_c"
"Rodoy","1836",1836,"reppa_0362030700_4_c"
"Rodoy","1836",1836,"rodoyfjorden_0362030800_c"
"Rodoy","1836",1836,"meloyvaer_0362040100_c"
"Meloy","1837",1837,"meloyvaer_0362040100_c"
"Meloy","1837",1837,"bolga_havn_0362040200_1_c"
"Rodoy","1836",1836,"bolgfjorden_0362040200_2_c"
"Meloy","1837",1837,"bolgfjorden_0362040200_2_c"
"Meloy","1837",1837,"skardsfjorden_indre_0362040300_1_c"
"Rodoy","1836",1836,"skardsfjorden_ytre_0362040300_2_c"
"Meloy","1837",1837,"skardsfjorden_ytre_0362040300_2_c"
"Meloy","1837",1837,"arhaugfjorden_0362040400_1_c"
"Meloy","1837",1837,"holandsfjorden_0362040400_2_c"
"Meloy","1837",1837,"nordfjorden_0362040500_c"
"Meloy","1837",1837,"bjerangsfjorden_0362040600_c"
"Meloy","1837",1837,"murholmen_0362040700_1_c"
"Meloy","1837",1837,"bogen_0362040700_2_c"
"Meloy","1837",1837,"amnessundet_0362040700_3_c"
"Meloy","1837",1837,"glomfjorden_indre_0362040800_1_c"
"Meloy","1837",1837,"meloyfjorden_glomfjorden_0362040800_2_c"
"Meloy","1837",1837,"eidet_0362040900_c"
"Meloy","1837",1837,"mesoyfjorden_0362041000_2_c"
"Meloy","1837",1837,"reipa(kobbsteinan)_0362041000_3_c"
"Meloy","1837",1837,"stigsundet_0362041000_4_c"
"Meloy","1837",1837,"stottafjorden_gasvaerfjorden_0362041100_c"
"Meloy","1837",1837,"maoyleia_0362041200_1_c"
"Meloy","1837",1837,"maoyleia_0362041200_2_c"
"Vestvagoy","1860",1860,"stamsund_havn_0363000030_11_c"
"Bodo","1804",1804,"vestfjorden_midtre_0363000030_12_c"
"Meloy","1837",1837,"vestfjorden_midtre_0363000030_12_c"
"Steigen","1848",1848,"vestfjorden_midtre_0363000030_12_c"
"Rost","1856",1856,"vestfjorden_midtre_0363000030_12_c"
"Vaeroy","1857",1857,"vestfjorden_midtre_0363000030_12_c"
"Flakstad","1859",1859,"vestfjorden_midtre_0363000030_12_c"
"Vestvagoy","1860",1860,"vestfjorden_midtre_0363000030_12_c"
"Vagan","1865",1865,"vestfjorden_midtre_0363000030_12_c"
"Moskenes","1874",1874,"vestfjorden_midtre_0363000030_12_c"
"Vestvagoy","1860",1860,"buoy_stamsund_havn_0363000030_13_c"
"Moskenes","1874",1874,"tindsvagen_0363000030_1_c"
"Moskenes","1874",1874,"moskenesvagen_0363000030_2_c"
"Vestvagoy","1860",1860,"ballstad_0363000030_3_c"
"Bodo","1804",1804,"vestervagen_0363000030_5_c"
"Bodo","1804",1804,"helligvaer_ytterside_landegode_0363000030_7_c"
"Meloy","1837",1837,"helligvaer_ytterside_landegode_0363000030_7_c"
"Gildeskal","1838",1838,"helligvaer_ytterside_landegode_0363000030_7_c"
"Steigen","1848",1848,"helligvaer_ytterside_landegode_0363000030_7_c"
"Vagan","1865",1865,"henningsvaer_havn_0363000030_8_c"
"Vestvagoy","1860",1860,"vikbukta_0363000031_1_c"
"Vestvagoy","1860",1860,"vagspollen_0363000031_2_c"
"Vaeroy","1857",1857,"moskenes_flakstad_0363000031_3_c"
"Flakstad","1859",1859,"moskenes_flakstad_0363000031_3_c"
"Vestvagoy","1860",1860,"moskenes_flakstad_0363000031_3_c"
"Moskenes","1874",1874,"moskenes_flakstad_0363000031_3_c"
"Vestvagoy","1860",1860,"vagan_0363000032_1_c"
"Vagan","1865",1865,"vagan_0363000032_1_c"
"Hadsel","1866",1866,"vagan_0363000032_1_c"
"Bo","1867",1867,"vagan_0363000032_1_c"
"Vagan","1865",1865,"laukvika_0363000032_2_c"
"Meloy","1837",1837,"fugloyvaer_0363010100_c"
"Gildeskal","1838",1838,"fugloyvaer_0363010100_c"
"Bodo","1804",1804,"fleinvaerfjorden_0363010200_c"
"Gildeskal","1838",1838,"fleinvaerfjorden_0363010200_c"
"Meloy","1837",1837,"fugloyfjorden_0363010300_1_c"
"Gildeskal","1838",1838,"fugloyfjorden_0363010300_1_c"
"Gildeskal","1838",1838,"gildeskal_0363010300_2_c"
"Gildeskal","1838",1838,"sorarnoy_havn_0363010300_4_c"
"Gildeskal","1838",1838,"vag_havn_0363010300_6_c"
"Gildeskal","1838",1838,"sorarnoya_nordarnoya_0363010300_7_c"
"Gildeskal","1838",1838,"storvik_havn_i_gildeskal_0363010400_1_c"
"Gildeskal","1838",1838,"storviken_0363010400_2_c"
"Gildeskal","1838",1838,"stavsundet_0363010500_c"
"Gildeskal","1838",1838,"sorfjorden_indre_0363010600_1_c"
"Gildeskal","1838",1838,"alten_0363010600_2_c"
"Gildeskal","1838",1838,"sorfjorden_ytre_0363010600_3_c"
"Gildeskal","1838",1838,"morsdalsfjorden_indre_0363010700_1_c"
"Gildeskal","1838",1838,"morsdalsfjorden_ytre_0363010700_2_c"
"Gildeskal","1838",1838,"sundsfjorden_indre_0363010800_1_c"
"Gildeskal","1838",1838,"sundsfjorden_ytre_0363010800_2_c"
"Gildeskal","1838",1838,"holmsundfjorden_0363010800_3_c"
"Gildeskal","1838",1838,"beiarfjorden_ytre_0363010900_1_c"
"Gildeskal","1838",1838,"ertenvag_0363011000_1_c"
"Bodo","1804",1804,"nordfjorden_0363011000_2_c"
"Gildeskal","1838",1838,"nordfjorden_0363011000_2_c"
"Bodo","1804",1804,"saltfjorden_ytre_0363011100_1_c"
"Gildeskal","1838",1838,"saltfjorden_ytre_0363011100_1_c"
"Bodo","1804",1804,"saltfjorden_indre_0363011100_2_c"
"Gildeskal","1838",1838,"saltfjorden_indre_0363011100_2_c"
"Bodo","1804",1804,"hopen_0363011100_3_c"
"Bodo","1804",1804,"landegodefjorden_0363011200_1_c"
"Bodo","1804",1804,"bodo_havn_0363011200_2_c"
"Bodo","1804",1804,"hjartoysundet_nyholmsundet_0363011200_3_c"
"Bodo","1804",1804,"ytre_sundan_0363020100_c"
"Bodo","1804",1804,"trongsmoget_0363020200_1_c"
"Bodo","1804",1804,"fjellvika_0363020200_2_c"
"Bodo","1804",1804,"elvefjorden_0363020300_c"
"Bodo","1804",1804,"indre_sundan_0363020400_c"
"Bodo","1804",1804,"skjaerstadfjorden_0363020500_c"
"Fauske","1841",1841,"skjaerstadfjorden_0363020500_c"
"Bodo","1804",1804,"misvaerfjorden_ytre_0363020600_1_c"
"Bodo","1804",1804,"misvaerfjorden_indre_0363020600_2_c"
"Saltdal","1840",1840,"rognan_0363020700_1_c"
"Bodo","1804",1804,"saltdalsfjorden_0363020700_3_c"
"Saltdal","1840",1840,"saltdalsfjorden_0363020700_3_c"
"Fauske","1841",1841,"saltdalsfjorden_0363020700_3_c"
"Fauske","1841",1841,"fauskevika_0363020900_c"
"Fauske","1841",1841,"klungsetvika_0363021000_c"
"Bodo","1804",1804,"valnesfjorden_0363021102_c"
"Fauske","1841",1841,"valnesfjorden_0363021102_c"
"Bodo","1804",1804,"karlsoyfjorden_sondre_0363030100_1_c"
"Bodo","1804",1804,"karlsoyfjorden_nordre_0363030100_2_c"
"Bodo","1804",1804,"mistfjorden_0363030200_c"
"Bodo","1804",1804,"tommervika_storvika_0363030301_c"
"Bodo","1804",1804,"sorfjorden_indre_0363030302_c"
"Bodo","1804",1804,"sorfjorden_ytre_0363030303_c"
"Bodo","1804",1804,"nordfjorden_0363030400_c"
"Bodo","1804",1804,"folda_0363030500_c"
"Sorfold","1845",1845,"folda_0363030500_c"
"Steigen","1848",1848,"folda_0363030500_c"
"Sorfold","1845",1845,"sorfolda_indre_0363030601_c"
"Sorfold","1845",1845,"revsfjorden_0363030602_1_c"
"Steigen","1848",1848,"revsfjorden_0363030602_1_c"
"Sorfold","1845",1845,"hopen_0363030602_2_c"
"Sorfold","1845",1845,"styrkesnes_indre_0363030602_4_c"
"Bodo","1804",1804,"sorfolda_ytre_0363030602_5_c"
"Sorfold","1845",1845,"sorfolda_ytre_0363030602_5_c"
"Bodo","1804",1804,"nevelsfjord_indre_0363030701_c"
"Bodo","1804",1804,"nevelsfjord_ytre_0363030702_c"
"Bodo","1804",1804,"eidekjosen_0363030800_c"
"Sorfold","1845",1845,"sjunkfjorden_indre_0363030900_1_c"
"Sorfold","1845",1845,"sjunkfjorden_ytre_0363030900_2_c"
"Sorfold","1845",1845,"nordfjorden_0363031000_1_c"
"Sorfold","1845",1845,"torrfjordelva_0363031000_2_c"
"Sorfold","1845",1845,"torrfjorden_0363031000_3_c"
"Sorfold","1845",1845,"leirfjorden_0363031100_c"
"Sorfold","1845",1845,"botnfjorden_0363031201_c"
"Sorfold","1845",1845,"sagfjorden_0363031202_c"
"Steigen","1848",1848,"brattfjorden_indre_0363031300_1_c"
"Steigen","1848",1848,"nordfold_havn_0363031300_3_c"
"Steigen","1848",1848,"nordfolda_0363031300_4_c"
"Steigen","1848",1848,"vinkfjorden_0363031400_c"
"Steigen","1848",1848,"stavfjorden_0363031500_c"
"Sorfold","1845",1845,"morsvikbotn_0363031600_c"
"Sorfold","1845",1845,"morsvikfjorden_0363031700_c"
"Steigen","1848",1848,"morsvikfjorden_0363031700_c"
"Steigen","1848",1848,"balkjosen_0363031800_c"
"Bodo","1804",1804,"folda_andholmfjorden_0363031900_c"
"Steigen","1848",1848,"folda_andholmfjorden_0363031900_c"
"Steigen","1848",1848,"botnfjorden_0363032000_c"
"Steigen","1848",1848,"leinesfjorden_0363032100_c"
"Steigen","1848",1848,"lilandsfjorden_0363032200_c"
"Steigen","1848",1848,"skotsfjorden_indre_0363032300_1_c"
"Steigen","1848",1848,"skotsfjorden_ytre_0363032300_2_c"
"Moskenes","1874",1874,"djupfjorden_0363040100_c"
"Moskenes","1874",1874,"reine_havn_0363040200_1_c"
"Moskenes","1874",1874,"hamnoy_0363040200_3_c"
"Moskenes","1874",1874,"kjerkfjorden_ytre_0363040200_4_c"
"Moskenes","1874",1874,"forsfjorden_0363040300_c"
"Moskenes","1874",1874,"bunesfjorden_0363040400_c"
"Moskenes","1874",1874,"kjerkfjorden_indre_0363040500_c"
"Flakstad","1859",1859,"sundstraumen_0363040600_2_c"
"Flakstad","1859",1859,"sundvagen_0363040600_3_c"
"Flakstad","1859",1859,"kakersundet_0363040600_4_c"
"Flakstad","1859",1859,"selfjorden_0363040700_1_c"
"Flakstad","1859",1859,"torsfjorden_indre_0363040700_2_c"
"Flakstad","1859",1859,"ramberg_havn_0363040700_4_c"
"Flakstad","1859",1859,"fredvang_0363040700_6_c"
"Flakstad","1859",1859,"torsfjorden_ytre_0363040700_7_c"
"Flakstad","1859",1859,"skjelfjorden_indre_0363040801_c"
"Flakstad","1859",1859,"skjelfjorden_ytre_0363040802_c"
"Flakstad","1859",1859,"nusfjord_0363040900_c"
"Flakstad","1859",1859,"kilpollen_0363041000_c"
"Vestvagoy","1860",1860,"offersoypollen_0363041101_c"
"Flakstad","1859",1859,"napp_0363041102_1_c"
"Flakstad","1859",1859,"nappstraumen_0363041102_2_c"
"Vestvagoy","1860",1860,"nappstraumen_0363041102_2_c"
"Vestvagoy","1860",1860,"buksnesfjorden_indre_0363041200_1_c"
"Vestvagoy","1860",1860,"fyglsjoen_0363041200_3_c"
"Vestvagoy","1860",1860,"buksnesfjorden_ytre_0363041200_4_c"
"Vestvagoy","1860",1860,"petvik_0363041200_5_c"
"Vestvagoy","1860",1860,"flaget_0363041300_c"
"Vestvagoy","1860",1860,"storfjordpollen_0363041401_c"
"Vestvagoy","1860",1860,"finnstadpollen_0363041402_c"
"Vestvagoy","1860",1860,"sennesvika_0363041403_1_c"
"Vestvagoy","1860",1860,"sennesvika_0363041403_2_c"
"Vestvagoy","1860",1860,"myklevika_0363041500_1_c"
"Vestvagoy","1860",1860,"skifjorden_indre_0363041500_2_c"
"Vestvagoy","1860",1860,"kartfjorden_0363041500_3_c"
"Vestvagoy","1860",1860,"rolvsfjorden_0363041500_4_c"
"Vestvagoy","1860",1860,"skifjorden_ytre_0363041500_5_c"
"Vagan","1865",1865,"djupfjorden_0363041600_c"
"Vestvagoy","1860",1860,"lyngvaer_0363041700_c"
"Vagan","1865",1865,"lyngvaer_0363041700_c"
"Vagan","1865",1865,"olderfjorden_indre_0363041800_1_c"
"Vagan","1865",1865,"olderfjorden_ytre_0363041800_2_c"
"Vagan","1865",1865,"sydalspollen_0363041900_1_c"
"Vagan","1865",1865,"gimsoystraumen_0363041900_2_c"
"Vestvagoy","1860",1860,"arrvagan_0363042000_1_c"
"Vagan","1865",1865,"arrvagan_0363042000_1_c"
"Vagan","1865",1865,"vikspollen_0363042000_2_c"
"Vestvagoy","1860",1860,"sundklakkstraumen_0363042000_3_c"
"Vagan","1865",1865,"sundklakkstraumen_0363042000_3_c"
