"water_entity_id","okologisk_tilstand","okologisk_palitelighetsgrad","kjemisk_tilstand","kjemisk_palitelighetsgrad","num_status_eco","num_status_chem"
"stalvikbotn_0402010900-2-c","god","middels","ukjent","lav",75,NA
"nordfjorden_0402011000-c","god","lav","ukjent","lav",75,NA
"straumsfjorden_0402011100-c","god","lav","ukjent","lav",75,NA
"sandvika_0402011200-c","god","lav","ukjent","lav",75,NA
"kattfjorden_0402011300-c","god","middels","ukjent","lav",75,NA
"nordfjorden_0402011400-c","god","lav","ukjent","lav",75,NA
"sorfjorden_0402011500-c","udefinert","lav","darlig","lav",NA,0
"ersfjorden_0402020100-c","god","lav","ukjent","lav",75,NA
"sessoyfjorden_0402020200-c","god","lav","ukjent","lav",75,NA
"vengsoyfjorden_0402020300-c","god","lav","ukjent","lav",75,NA
"indre_kaldfjord_0402020401-1-c","god","lav","ukjent","lav",75,NA
"kaldfjorden-_indre_midtre_0402020401-3-c","god","middels","ukjent","lav",75,NA
"kaldfjorden-_ytre_midtre_0402020401-4-c","god","lav","ukjent","lav",75,NA
"kaldfjorden-ytre_0402020402-c","god","lav","ukjent","lav",75,NA
"rakkneskjosen_0402020500-1-c","god","lav","ukjent","lav",75,NA
"kvalsundet_0402020500-2-c","svaert_god","middels","ukjent","lav",100,NA
"vagen_0402020600-c","god","lav","ukjent","lav",75,NA
"kifjorden_0402020700-c","god","lav","ukjent","lav",75,NA
"grotsundet_0402020800-c","svaert_god","hoy","god","lav",100,100
"skattora_smabathavn_tromso_0402020900-10-c","moderat","hoy","darlig","lav",50,0
"tromsoysundet_-_tromso_0402020900-11-c","god","hoy","darlig","lav",75,0
"tromsoysundet-sor_0402020900-1-c","god","lav","darlig","lav",75,0
"tromsoysundet-nord_0402020900-3-c","svaert_god","lav","ukjent","lav",100,NA
"tromsdalselva-utlop_0402020900-5-c","god","lav","ukjent","lav",75,NA
"tromsdalen_smabathavn_0402020900-7-c","moderat","middels","darlig","lav",50,0
"hakoya_-_grindoysundet_0402021000-1-c","god","middels","darlig","lav",75,0
"sandnessundet_0402021000-2-c","god","hoy","darlig","lav",75,0
"nordbotn_0402021100-c","god","hoy","darlig","lav",75,0
"sorbotn_0402021200-c","god","hoy","darlig","lav",75,0
"laksvatnbukt_indre_0402021300-1-c","god","lav","ukjent","lav",75,NA
"balsfjorden_0402021300-2-c","god","lav","ukjent","lav",75,NA
"ramfjorden_indre_0402021400-1-c","god","lav","ukjent","lav",75,NA
"ramfjorden_ytre_0402021400-2-c","god","lav","ukjent","lav",75,NA
"skagoysundet_0402021500-c","svaert_god","lav","ukjent","lav",100,NA
"skarsfjorden_0402021600-c","svaert_god","lav","ukjent","lav",100,NA
