"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","catch_runmean","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score","total_tons","catch_prop","fish_score"
2002,"1818","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40.233,"Heroy",37.668,2197.73,0.0171395030326746,0.319077340012729,0.0537158264889348,0.0537158264889348,1061.4771,0.0354863990942433,3.40382585215332
2003,"1818","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15.583,"Heroy",20.0556666666667,2197.73,0.00912562811021675,0.335508243168333,0.0271994155018069,0.0271994155018069,1054.6985,0.0190155448847862,3.55123516631263
2004,"1818","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.351,"Heroy",8.434,2197.73,0.00383759606503074,0.33837367661048,0.0113412961181623,0.0113412961181623,952.509066666667,0.00885450889146392,3.478756140737
2005,"1818","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.368,"Heroy",3.76016666666667,2197.73,0.00171093203745076,0.257293612827725,0.00664972604118372,0.00664972604118372,831.1935,0.00452381625538057,2.91906721054337
2006,"1818","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5615,"Heroy",2.43983333333333,2197.73,0.00111016063544354,0.247313527829675,0.0044888795416323,0.0044888795416323,1148.2886,0.00212475620966135,1.7834010632114
2014,"1818","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.39,"Heroy",2.43983333333333,2197.73,0.00111016063544354,1.08050013345104,0.00102745071571418,0.00102745071571418,274.014866666667,0.00890401810315401,0.938794823786089
2008,"1818","Atlantic mackerel",2604212,"mac.27.nea",0.46,1990000,0.23,2500000,0.324,1,0.591304347826087,0.795652173913044,59.934,"Heroy",59.934,2197.73,0.0272708658479431,0.0469401151559482,0.58097143045648,0.462251181624069,664.404366666667,0.0902071133287254,6.605400082081
2011,"1818","Atlantic mackerel",3990908,"mac.27.nea",0.46,1990000,0.23,2500000,0.297,1,0.708695652173913,0.854347826086957,22.49,"Heroy",22.49,2197.73,0.0102332861634505,3.43718261498148,0.0029772308631049,0.00254359071565267,423.4863,0.0531067947180346,1.33389822977389
1994,"1820","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,100.0358,"Alstahaug",77.3003666666667,397.61,0.194412531542634,11.5957758976268,0.0167658062090026,0.0083829031045013,102.439766666667,0.754593349652951,0.818523910064606
1995,"1820","Atlantic cod",523318,"cod.27.1-2",0.74,220000,0.4,460000,0.782,1,0,0.5,100.0883,"Alstahaug",77.3003666666667,397.61,0.194412531542634,11.5957758976268,0.0167658062090026,0.0083829031045013,102.439766666667,0.754593349652951,0.85819545218052
1996,"1820","Atlantic cod",546404,"cod.27.1-2",0.74,220000,0.4,460000,0.766,1,0,0.5,31.777,"Alstahaug",57.1896,397.61,0.14383340459244,11.203589232838,0.0128381540596705,0.00641907702983523,86.6581333333333,0.659944979197952,0.774541781064633
1997,"1820","Atlantic cod",544203,"cod.27.1-2",0.74,220000,0.4,460000,0.947,1,0,0.5,39.7035,"Alstahaug",24.2818333333333,397.61,0.0610694734371201,11.0830323623589,0.00551017730892215,0.00275508865446108,42.7231666666667,0.568352845255697,0.403683641089024
1998,"1820","Atlantic cod",377854,"cod.27.1-2",0.74,220000,0.4,460000,0.96,0.657725,0,0.3288625,1.365,"Alstahaug",13.886,397.61,0.0349236689218078,10.2268746645112,0.00341489165238311,0.00112302980603184,48.5481,0.28602561171292,0.231166816729733
1999,"1820","Atlantic cod",283058,"cod.27.1-2",0.74,220000,0.4,460000,0.96,0.262741666666667,0,0.131370833333333,0.5895,"Alstahaug",0.979999999999995,397.61,0.00246472674228514,8.22380253054373,0.000299706459771011,0.0000393726873755007,2.06383333333333,0.474844544940643,0.0295303018525971
2005,"1820","Atlantic cod",615647,"cod.27.1-2",0.74,220000,0.4,460000,0.72,1,0.0588235294117647,0.529411764705882,0.9855,"Alstahaug",0.603999999999994,397.61,0.00151907648197982,5.5205201154918,0.000275169087368589,0.000145677752136312,1.48903333333333,0.405632289404757,0.0223814582590697
2006,"1820","Atlantic cod",602187,"cod.27.1-2",0.74,220000,0.4,460000,0.659,1,0.238235294117647,0.619117647058824,0.237,"Alstahaug",0.442499999999994,397.61,0.00111289957496037,4.59229792817479,0.000242340456208749,0.000150037253035123,1.16719999999999,0.379112405757365,0.0187711605992008
