"","Year","Municip_number","Municip_name_new","Species","Spp_year","SSB","Bmsy","SSB.Bmsy","Blim","Seaarea","Total_catch_new","Blim.Bmsy","stock_score"
"90",1994,1851,"Lodingen","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,516.46,7038.725,0.785175879396985,1
"91",1994,1851,"Lodingen","Haddock","Haddock_1994",163487,80000,2.0435875,50000,516.46,9.8574,0.625,1
"92",1994,1851,"Lodingen","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,516.46,519.6204,0.618181818181818,0.0816691176470588
"93",1994,1852,"Tjeldsund","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,125.56,9389.075,0.785175879396985,1
"94",1994,1853,"Evenes","Cod","Cod_1994",592309,460000,1.28762826086957,220000,137.56,47.97,0.478260869565217,1
"95",1994,1853,"Evenes","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,137.56,26226.685,0.785175879396985,1
"96",1994,1853,"Evenes","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,137.56,0.594,0.618181818181818,0.0816691176470588
"97",1994,1854,"Ballangen","Cod","Cod_1994",592309,460000,1.28762826086957,220000,260.93,1.368,0.478260869565217,1
"98",1994,1854,"Ballangen","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,260.93,13870.58,0.785175879396985,1
"99",1994,1854,"Ballangen","Haddock","Haddock_1994",163487,80000,2.0435875,50000,260.93,0.4872,0.625,1
"100",1994,1854,"Ballangen","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,260.93,0.0486,0.618181818181818,0.0816691176470588
"101",1994,1856,"Rost","Cod","Cod_1994",592309,460000,1.28762826086957,220000,3361.27,57537.9396,0.478260869565217,1
"102",1994,1856,"Rost","Haddock","Haddock_1994",163487,80000,2.0435875,50000,3361.27,802.1115,0.625,1
"103",1994,1856,"Rost","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,3361.27,2208.251,0.618181818181818,0.0816691176470588
"104",1994,1857,"Vaeroy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1805.51,40862.9868,0.478260869565217,1
"105",1994,1857,"Vaeroy","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,1805.51,3751.48,0.785175879396985,1
"106",1994,1857,"Vaeroy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1805.51,824.8599,0.625,1
"107",1994,1857,"Vaeroy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1805.51,1373.9122,0.618181818181818,0.0816691176470588
"108",1994,1859,"Flakstad","Cod","Cod_1994",592309,460000,1.28762826086957,220000,994.01,69199.2396,0.478260869565217,1
"109",1994,1859,"Flakstad","Haddock","Haddock_1994",163487,80000,2.0435875,50000,994.01,1690.4397,0.625,1
"110",1994,1859,"Flakstad","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,994.01,1669.6522,0.618181818181818,0.0816691176470588
"111",1994,1860,"Vestvagoy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1685.01,75083.7792,0.478260869565217,1
"112",1994,1860,"Vestvagoy","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,1685.01,96.715,0.785175879396985,1
"113",1994,1860,"Vestvagoy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1685.01,1364.7234,0.625,1
"114",1994,1860,"Vestvagoy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1685.01,1867.6972,0.618181818181818,0.0816691176470588
