"Year","low_SSB","SSB","high_SSB","low_F","F","high_F","Fage","fishstock","SpeciesName","StockDescription"
1972,NA,2727000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1973,NA,1350000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1974,NA,907000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1975,NA,2916000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1976,NA,3200000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1977,NA,2676000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1978,NA,1402000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1979,NA,1227000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1980,NA,3913000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1981,NA,1551000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1982,NA,1591000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1983,NA,1329000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1984,NA,1208000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1985,NA,285000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1986,NA,65000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1987,NA,17000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1988,NA,2e+05,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1989,NA,175000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1990,NA,2617000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1991,NA,2248000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1992,NA,2228000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1993,NA,330000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1994,NA,94000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1995,NA,118000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1996,NA,248000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1997,NA,312000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1998,NA,932000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1999,NA,1718000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2000,NA,2098000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2001,NA,2019000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2002,NA,1291000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2003,NA,280000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2004,NA,294000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2005,NA,174000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2006,NA,437000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2007,NA,844000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2008,NA,2468000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2009,NA,2323000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2010,NA,2051000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2011,NA,2115000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2012,NA,1997000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2013,NA,1471000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2014,NA,873000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2015,NA,375000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2016,NA,181000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2017,NA,1723000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2018,NA,1056000,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2019,NA,301615,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
2020,NA,NA,NA,NA,NA,NA,NA,"cap.27.1-2","Mallotus villosus","Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
1979,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1980,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1981,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1982,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1983,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1984,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1985,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1986,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1987,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1988,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1989,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1990,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1991,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1992,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1993,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1994,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1995,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1996,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1997,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1998,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1999,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2000,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2001,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2002,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2003,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2004,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2005,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2006,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2007,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2008,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2009,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2010,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2011,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2012,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2013,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2014,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2015,NA,NA,NA,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2016,150338,298000,447828,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2017,150190,355000,596320,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2018,150000,352000,614000,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
2019,33200,82790,161480,NA,NA,NA,NA,"cap.27.2a514","Mallotus villosus","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)"
1973,50942,93376,171156,0.093,0.206,0.456,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1974,42899,72934,123998,0.072,0.154,0.33,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1975,43705,67381,103882,0.103,0.188,0.344,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1976,48198,68116,96267,0.186,0.31,0.517,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1977,53739,77884,112879,0.275,0.436,0.689,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1978,67572,105301,164094,0.34,0.551,0.895,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1979,75486,117364,182474,0.497,0.804,1.301,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1980,60301,96146,153299,0.163,0.306,0.575,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1981,57443,84812,125221,0.163,0.293,0.526,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1982,51611,69515,93630,0.486,0.746,1.143,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1983,34361,46614,63238,0.412,0.634,0.974,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1984,24920,34599,48037,0.356,0.563,0.892,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1985,18735,26671,37969,0.157,0.258,0.425,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1986,19901,28097,39669,0.122,0.194,0.308,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1987,23874,32552,44385,0.196,0.307,0.483,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1988,29616,40973,56684,0.313,0.472,0.713,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1989,44899,67169,100484,0.38,0.57,0.856,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1990,55052,82084,122391,0.47,0.693,1.022,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1991,35279,53256,80394,0.939,1.265,1.704,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1992,10924,16912,26183,1.136,1.58,2.198,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1993,2035,3106,4741,0.241,0.455,0.859,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1994,1294,2170,3640,0.091,0.18,0.355,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1995,1440,2377,3924,0.042,0.076,0.14,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1996,1464,2364,3816,0.042,0.083,0.164,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1997,1645,2607,4131,0.061,0.134,0.293,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1998,1578,2498,3956,0.064,0.146,0.33,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
1999,1468,2368,3821,0.03,0.06,0.121,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2000,1597,2494,3895,0.034,0.067,0.132,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2001,2170,3236,4826,0.021,0.045,0.098,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2002,3570,5226,7650,0.032,0.081,0.207,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2003,5415,7963,11711,0.03,0.07,0.165,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2004,7520,11052,16245,0.04,0.085,0.181,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2005,10670,15616,22854,0.055,0.102,0.191,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2006,16551,24310,35708,0.033,0.058,0.102,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2007,25626,37412,54620,0.073,0.125,0.213,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2008,28165,40157,57256,0.124,0.211,0.357,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2009,34335,51681,77793,0.047,0.08,0.137,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2010,35134,51920,76727,0.026,0.045,0.075,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2011,36937,53701,78075,0.06,0.106,0.186,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2012,42809,61136,87310,0.068,0.119,0.21,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2013,52000,74130,105678,0.061,0.11,0.199,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2014,66155,93855,133154,0.069,0.125,0.224,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
2015,56206,79495,112434,0.135,0.234,0.404,"5-10","cod.2127.1f14","Gadus morhua","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)"
