Year,Municip_number,Municip_name_new,fish_score,runmean
2002,1929,Berg,98.95878438330338,95.80247228795965
2003,1929,Berg,99.36904974894931,98.00064060476863
2004,1929,Berg,99.45712052671864,99.07735577985495
2005,1929,Berg,99.42181272956026,98.98349816870926
2006,1929,Berg,98.18001151074321,98.7905980752723
2007,1929,Berg,98.48949632757493,98.74704239327143
2008,1929,Berg,98.40454928176453,98.55831600840921
2009,1929,Berg,99.23934211671423,98.76380005020721
2010,1929,Berg,98.4781808052492,98.88150784673891
2011,1929,Berg,99.20743171973325,99.04285389496646
2012,1929,Berg,99.07803531023342,98.98416207201814
2013,1929,Berg,99.21127952290222,99.0512352435464
2014,1929,Berg,98.94588300197262,98.92686849666194
2015,1929,Berg,98.81354666289053,98.92443976303433
2016,1929,Berg,98.58559798531095,NA
2017,1929,Berg,99.06589164209537,NA
1994,1931,Lenvik,93.73036951891189,NA
1995,1931,Lenvik,92.98177092129951,NA
1996,1931,Lenvik,99.52954465349376,92.45866185451088
1997,1931,Lenvik,99.22982096704595,83.27086915724533
1998,1931,Lenvik,76.82180321180327,76.302280215782
1999,1931,Lenvik,47.79140603258418,72.90234317422467
2000,1931,Lenvik,58.13882621398284,68.47725156804731
2001,1931,Lenvik,82.52985944570707,71.05334556421107
2002,1931,Lenvik,77.10436293615923,80.13755005410732
2003,1931,Lenvik,89.70227319262209,87.34580996789548
2004,1931,Lenvik,93.21242848206542,89.6116932924811
2005,1931,Lenvik,94.18012578292358,92.55054336483803
2006,1931,Lenvik,93.8592760686352,92.81298880415343
2007,1931,Lenvik,91.79861329794387,92.62175554263266
2008,1931,Lenvik,91.01450038919914,92.4496758272931
2009,1931,Lenvik,92.25626217446151,92.72183157009283
2010,1931,Lenvik,93.3197272062258,93.45217333578726
2011,1931,Lenvik,95.22005478263385,94.49538424764584
2012,1931,Lenvik,95.45032212641601,94.92258910647864
2013,1931,Lenvik,96.23055494849203,95.25014203194407
2014,1931,Lenvik,94.3922864686255,94.54310510380556
2015,1931,Lenvik,94.95749183355294,95.00540838133664
2016,1931,Lenvik,91.68487014194127,NA
2017,1931,Lenvik,97.76183851407144,NA
1994,1933,Balsfjord,0.7393060124606079,NA
1996,1933,Balsfjord,1.0910302297543388,NA
1997,1933,Balsfjord,0.9846585519163107,14.590713564509818
2000,1933,Balsfjord,10.007593895754637,31.55126841522545
2001,1933,Balsfjord,60.1309791326632,44.82012988783774
2002,1933,Balsfjord,85.54208026603877,48.87610280120824
2003,1933,Balsfjord,67.43533759281577,56.493362003422156
2004,1933,Balsfjord,21.264523118768846,52.38785404001785
2005,1933,Balsfjord,48.09388990682421,40.32669904946939
2006,1933,Balsfjord,39.60343931564169,35.058369300162454
2007,1933,Balsfjord,25.23630531329645,33.29074781407284
2008,1933,Balsfjord,41.093688846281076,23.7385774806853
2009,1933,Balsfjord,12.42641568832075,15.832160914397207
2010,1933,Balsfjord,0.33303823988652576,10.793598750740363
2011,1933,Balsfjord,0.07135648420123507,2.581667719060199
2012,1933,Balsfjord,0.04349449501222852,0.14641623270679355
