"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score"
1994,"1836","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,953.0625,"Rodoy",2391.77,0.39847581498221,244232.387275353,0.00000163154370895519,0.000000815771854477595
1994,"1836","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,54.957,"Rodoy",2391.77,0.0229775438273747,18466.5279014832,0.00000124428067636522,0.00000124428067636522
1994,"1836","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,77.553,"Rodoy",2391.77,0.0324249405252177,69976.1695760599,0.000000463371183670946,0.000000463371183670946
1994,"1836","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,242.0625,"Rodoy",2391.77,0.101206428711791,103707.501604621,0.000000975883394603742,0.000000137890000125617
1994,"1836","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,113.313,"Rodoy",2391.77,0.0473762109232911,80462.0896380397,0.00000058880164729022,0.00000058880164729022
1994,"1837","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,711.8247,"Meloy",1872.46,0.380154823066981,244232.387275353,0.00000155652912092444,0.000000778264560462218
1994,"1837","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,358.4628,"Meloy",1872.46,0.19143949670487,69976.1695760599,0.00000273578130761768,0.00000273578130761768
1994,"1837","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,171.3103,"Meloy",1872.46,0.0914894310158829,103707.501604621,0.000000882187205364188,0.000000124650951672233
1994,"1837","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.01,"Meloy",1872.46,0.00320968138171176,80462.0896380397,0.0000000398906043349181,0.0000000398906043349181
1994,"1838","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,196.8429,"Gildeskal",837.6,0.23500823782235,244232.387275353,0.000000962232079226233,0.000000481116039613117
1994,"1838","Atlantic herring",3452000,"her.27.1-24a514a",0.291,2500000,0.157,3184000,0.126,1,1,1,25.194,"Gildeskal",837.6,0.0300787965616046,18466.5279014832,0.00000162882793788153,0.00000162882793788153
1994,"1838","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,45.787,"Gildeskal",837.6,0.054664517669532,69976.1695760599,0.000000781187624311373,0.000000781187624311373
1994,"1838","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,141.8608,"Gildeskal",837.6,0.169365807067813,103707.501604621,0.00000163311047366188,0.000000230754621570152
1994,"1838","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.711,"Gildeskal",837.6,0.00681829035339064,80462.0896380397,0.0000000847391657868054,0.0000000847391657868054
1994,"1840","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,35.2643,"Saltdal",29.77,1.1845582801478,244232.387275353,0.00000485012775481043,0.00000242506387740522
1994,"1840","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,2.954,"Saltdal",29.77,0.0992274101444407,69976.1695760599,0.00000141801717278318,0.00000141801717278318
1994,"1840","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,1.4279,"Saltdal",29.77,0.0479643936849177,103707.501604621,0.000000462496858402578,0.0000000653497049092881
1994,"1840","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.777,"Saltdal",29.77,0.0261001007725899,80462.0896380397,0.000000324377615470859,0.000000324377615470859
1994,"1841","Atlantic cod",591364,"cod.27.1-2",0.74,220000,0.4,460000,0.797,1,0,0.5,8.1855,"Fauske",84.29,0.0971111638391268,244232.387275353,0.000000397617879112984,0.000000198808939556492
1994,"1841","Haddock",165211,"had.27.1-2",0.77,50000,0.35,80000,0.348,1,1,1,0.1106,"Fauske",84.29,0.00131213667101673,69976.1695760599,0.0000000187511931414096,0.0000000187511931414096
